actual_gloss,normalized_gloss
_1_far,FAR
_1_go_steady,GO_STEADY
_1_who,WHO
_1h__l_x_interesting_zero_2,INTERESTING_ZERO
_1h_area,AREA
_1h_eat_up,EAT_UP
_1h_good_thank_you,GOOD_THANK_YOU
_1h_hammer_agent,HAMMER_AGENT
_1h_happy__1h_most,HAPPY_MOST
_1h_happy__new_year,HAPPY_NEW_YEAR
_1h_last_year,LAST_YEAR
_1h_none_nothing,NONE
_1h_scream,SCREAM
_1h_stay,STAY
_2h__back_2,BACK
_2h_alt_angry,ANGRY
_2h_alt_use_sign_language,USE_SIGN_LANGUAGE
_2h_dribble__shoot_basket,DRIBBLE_SHOOT_BASKET
_2h_thank_you_suggest,THANK_YOU_SUGGEST
_2h_thumbs_up_good,THUMBS_UP_GOOD
_5_crash,CRASH
_5_foot,FOOT
_5_weather,WEATHER
_a_ns_africa,AFRICA
_a_ns_asia,ASIA
_ac,AC
_all,ALL
_asl,ASL
_b_blinds,BLIND
_b_hospital_2,HOSPITAL
_b_l_napkin,NAPKIN
_back,BACK
_bbq,BBQ
_bus,BUS
_c_vomit,VOMIT
_cc,CC
_cheek_blind,CHEEK_BLIND
_club,CLUB
_co,CO
_cocked_8_fool,FOOL
_cocked_8_shoot_arrow,SHOOT_ARROW
_cp,CP
_do___what_,DO_WHAT
_dog,DOG
_e_e_mail,EMAIL
_early,EARLY
_ed,ED
_elbow_cheat,ELBOW_CHEAT
_ff,FF
_fix,FIX
_flat_o_pay_spend,FLAT_O_PAY_SPEND
_g_thanksgiving,THANKSGIVING
_ha_ha,HA_HA
_horns_shoot_arrow,HORNS_SHOOT_ARROW
_hr,HR
_i_iron_metal,IRON_METAL
_if,IF
_job,JOB
_k_kitchen,KITCHEN
_l_leather,LEATHER
_l_live_box_room,LIVE_BOX_ROOM
_l_rifle,RIFLE
_l_x_interesting,INTEREST
_l_x_thick,THICK
_lab,LAB
_m_model,MODEL
_m_ns_mexico,MEXICO
_mw,MW
_no,NO
_od,OD
_off,OFF
_ok,OK
_or,OR
_p_paranoid,PARANOID
_p_participate,PARTICIPATE
_p_penis,PENIS
_p_profession,PROFESSION
_pe,PE
_pizza,PIZZA
_po,PO
_r_best_friend,BEST_FRIEND
_ref,REF
_rr,RR
_s_bomb,BOMB
_s_broom,BROOM
_s_ketchup,KETCHUP
_s_mosquito,MOSQUITO
_s_old__average,AVERAGE
_s_old__ff,FF
_s_old_five_2,FIVE
_s_old_four_2,FOUR
_s_old_one_2,ONE
_s_old_testament,TESTAMENT
_s_old_three_2,THREE
_s_old_two_2,TWO
_s_purse,PURSE
_ss,SS
_tty,TTY
_tv,TV
_u_bowtie,BOWTIE
_u_secretary,SECRETARY
_v_crawl,CRAWL
_w_war,WAR
_what,WHAT
_will,WILL
_wow,WOW
_x_fool_doll,FOOL_DOLL
_x_fool_doll__d_day,FOOL_DOLL_D_DAY
_y_bathing_suit,BATHING_SUIT
_y_bull,BULL
_yes,YES
1p_help_i,HELP
a,A
a_level_above,A_LEVEL_ABOVE
a_lot,A_LOT
abandon,ABANDON
abdomen,ABDOMEN
abortion,ABORT
about,ABOUT
above,ABOVE
absent,ABSENT
abstract,ABSTRACT
abuse,ABUSE
accept,ACCEPT
accident,ACCIDENT
accompany,ACCOMPANY
acquire,ACQUIRE
act,ACT
act_agent,ACT_AGENT
action,ACTION
adapt,ADAPT
add,ADD
addicted,ADDICT
address,ADDRESS
admit,ADMIT
adult_tall,ADULT_TALL
adultery,ADULTERY
adventurous_sneaky,ADVENTUROUS_SNEAKY
advertise,ADVERTISE
advise_influence,ADVISE_INFLUENCE
advise_influence_agent,ADVISE_INFLUENCE_AGENT
afraid,AFRAID
afternoon,AFTERNOON
again,AGAIN
against,AGAINST
age_five,AGE_FIVE
age_four,AGE_FOUR
age_one,AGE_ONE
age_two,AGE_TWO
agent,AGENT
aggressive,AGGRESSIVE
agree,AGREE
ahead,AHEAD
air,AIR
air_pump,AIR_PUMP
airplane,AIRPLANE
airplane__agent,AIRPLANE_AGENT
alarm,ALARM
alcohol,ALCOHOL
algebra,ALGEBRA
all,ALL
all_afternoon,ALL_AFTERNOON
all_day,ALL_DAY
all_night,ALL_NIGHT
all_night_after_midnight,ALL_NIGHT_AFTER_MIDNIGHT
all_right,ALL_RIGHT
allergy,ALLERGY
alligator,ALLIGATOR
allow,ALLOW
almost,ALMOST
alone,ALONE
also,ALSO
always,ALWAY
