actual_gloss,normalized_gloss
abla,SISTER
acele,HURRY
acikmak,HUNGRY
afiyet_olsun,ENJOY_YOUR_MEAL
agabey,BROTHER
agac,TREE
agir,HEAVY
aglamak,CRY
aile,FAMILY
akilli,WISE
akilsiz,UNWISE
akraba,KIN
alisveris,SHOPPING
anahtar,KEY
anne,MOTHER
arkadas,FRIEND
ataturk,ATATURK
ayakkabi,SHOE
ayna,MIRROR
ayni,SAME
baba,FATHER
bahce,GARDEN
bakmak,LOOK
bal,HONEY
bardak,GLASS
bayrak,FLAG
bayram,FEAST
bebek,BABY
bekar,SINGLE
beklemek,WAIT
ben,ME
benzin,PETROL
beraber,TOGETHER
bilgi_vermek,INFORM
biz,WE
calismak,WORK
carsamba,WEDNESDAY
catal,FORK
cay,TEA
caydanlik,TEAPOT
cekic,HAMMER
cirkin,UGLY
cocuk,CHILD
corba,SOUP
cuma,FRIDAY
cumartesi,SATURDAY
cuzdan,WALLET
dakika,MINUTE
dede,GRANDFATHER
degistirmek,CHANGE
devirmek,TOPPLE
devlet,GOVERNMENT
doktor,DOCTOR
dolu,FULL
dugun,MARRIAGE
dun,YESTERDAY
dusman,ENEMY
duvar,WALL
eczane,PHARMACY
eldiven,GLOVE
emek,LABOR
emekli,RETIRED
erkek,MALE
et,MEAL
ev,HOUSE
evet,YES
evli,MARRIED
ezberlemek,MEMORIZE
fil,ELEPHANT
fotograf,PHOTOGRAPH
futbol,FOOTBALL
gecmis,PAST
gecmis_olsun,GET_WELL
getirmek,BRING
gol,LAKE
gomlek,SHIRT
gormek,SEE
gostermek,SHOW
gulmek,LAUGH
hafif,LIGHTWEIGHT
hakli,RIGHT
hali,CARPET
hasta,ILL
hastane,HOSPITAL
hata,FAULT
havlu,TOWEL
hayir,NO
hayirli_olsun,CONGRATULATIONS
hayvan,ANIMAL
hediye,GIFT
helal,HALAL
hep,ALWAYS
hic,NEVER
hoscakal,GOODBYE
icmek,DRINK
igne,NEEDLE
ilac,MEDICINE
ilgilenmemek,NOT_INTERESTED
isik,LIGHT
itmek,PUSH
iyi,GOOD
kacmak,ESCAPE
kahvalti,BREAKFAST
kalem,PENCIL
kalorifer,RADIATOR
kapi,DOOR
kardes,SIBLING
kavsak,CROSSROAD
kaza,ACCIDENT
kemer,BELT
keske,IF_ONLY
kim,WHO
kimlik,IDENTITY
kira,RENT
kitap,BOOK
kiyma,MINCE
kiz,FEMALE
koku,SMELL
kolonya,PERFUME
komur,COAL
kopek,DOG
kopru,BRIDGE
kotu,BAD
kucak,LAP
leke,STAIN
maas,SALARY
makas,SCISSOR
masa,TONGS
masallah,MASHALLAH
melek,ANGEL
memnun_olmak,BE_PLEASED
mendil,NAPKIN
merdiven,STAIRS
misafir,GUEST
mudur,MANAGER
musluk,TAP
nasil,HOW
neden,WHY
nerede,WHERE
nine,GRANDMOTHER
ocak,OVEN
oda,ROOM
odun,WOOD
ogretmen,TEACHER
okul,SCHOOL
olimpiyat,OLYMPIAD
olmaz,NOPE
olur,OKAY
onlar,THEY
orman,FOREST
oruc,FASTING
ozur_dilemek,APOLOGIZE
pamuk,COTTON
pantolon,TROUSER
para,MONEY
pastirma,PASTRAMI
patates,POTATO
pazar,SUNDAY
pazartesi,MONDAY
pencere,WINDOW
persembe,THURSDAY
piknik,PICNIC
polis,POLICE
psikoloji,PSYCHOLOGY
rica_etmek,REQUEST
saat,HOUR
sabun,SOAP
salca,SAUCE
sali,TUESDAY
sampiyon,CHAMPION
sapka,HAT
savas,WAR
seker,SUGAR
selam,HELLO
semsiye,UMBRELLA
sen,YOU
senet,BILL
serbest,FREE
ses,VOICE
sevmek,LOVE
seytan,EVIL
sinir,BORDER
siz,YOU
soylemek,SAY
soz,PROMISE
sut,MILK
tamam,OKAY
tarak,COMB
tarih,DATE
tatil,HOLIDAY
tatli,SWEET
tavan,CEILING
tehlike,DANGER
telefon,TELEPHONE
terazi,SCALES
terzi,TAILOR
tesekkur,THANK_YOU
tornavida,SCREWDRIVER
turkiye,TURKEY
turuncu,ORANGE
tuvalet,TOILET
un,FLOUR
uzak,FAR
uzgun,SAD
var,EXISTING
vergi,TAX
yakin,NEAR
yalniz,ALONE
yanlis,WRONG
yapmak,DO
yarabandi,BAND_AID
yardim,HELP
yarin,TOMORROW
yasak,FORBIDDEN
yastik,PILLOW
yatak,BED
yavas,SLOW
yemek,EAT
yemek_pisirmek,COOK
yildiz,STAR
yok,ABSENT
yol,ROAD
yorgun,TIRED
yumurta,EGG
zaman,TIME
zor,DIFFICULT
