Ori_ID	L_ID	Meaning (Chinese)
0000	0000	人
0002	0001	群众
0006	0002	我
0007	0003	你（您)
0009	0004	我们
0010	0005	你们
0012	0006	自己（个人）
0013	0007	大家
0020	0008	青年
0021	0009	老人
0023	0010	聋人
0028	0011	家属
0037	0012	伯母
0038	0013	叔父
0039	0014	婶母（婶婶）
0042	0015	舅父
0043	0016	舅母
0045	0017	姨母
0046	0018	岳父
0047	0019	岳母
0048	0020	哥哥
0049	0021	嫂嫂
0050	0022	姐姐
0052	0023	弟弟
0053	0024	妹妹
0055	0025	儿子（男孩）
0056	0026	女儿（女孩）
0057	0027	外甥
0061	0028	丈夫
0062	0029	妻子
0063	0030	女婿
0064	0031	媳妇
0066	0032	同事
0067	0033	同学
0068	0034	同胞
0069	0035	乡亲（老乡）
0070	0036	朋友
0071	0037	师傅
0073	0038	先生
0074	0039	女士
0082	0040	阿姨
0083	0041	宝贝
0084	0042	保姆
0085	0043	辈
0086	0044	标兵
0087	0045	别人
0088	0046	乘客
0092	0047	副手
0094	0048	公仆
0098	0049	顾客
0099	0050	雇员（雇工）
0100	0051	寡妇
0106	0052	明星
0107	0053	婆婆（婆母）
0109	0054	新娘
0111	0055	研究生
0112	0056	债权人（债主)
0113	0057	主持人（司仪）
0114	0058	裁缝
0117	0059	教练
0120	0060	门卫
0124	0061	向导
0126	0062	主角
0127	0063	职业
0129	0064	职务
0130	0065	工人
0132	0066	商人
0134	0067	教师
0135	0068	教授
0137	0069	博士
0139	0070	专家
0142	0071	编辑
0143	0072	记者
0144	0073	翻译
0146	0074	演员
0149	0075	警察
0153	0076	经理
0154	0077	厂长
0155	0078	技师
0156	0079	会计
0159	0080	邮递员
0162	0081	公务员
0163	0082	内行
0165	0083	参赞
0166	0084	领队
0168	0085	评委
0170	0086	总裁
0171	0087	领导
0172	0088	领袖
0173	0089	主席
0174	0090	总统
0175	0091	元首
0176	0092	总理
0177	0093	大使
0184	0094	主任
0187	0095	常委
0190	0096	代表
0194	0097	会员
0196	0098	称号
0197	0099	成员
0200	0100	居民
0201	0101	级别
0202	0102	客户
0203	0103	邻居
0204	0104	盲流
0205	0105	名义
0209	0106	人类
0212	0107	资格（资历）
0213	0108	祖先（祖宗）
0219	0109	中农
0222	0110	皇后
0223	0111	贵妃
0228	0112	进士
0230	0113	官僚
0237	0114	反革命
0241	0115	大陆
0245	0116	烽火台
0248	0117	淮河
0255	0118	少林寺
0257	0119	泰山
0260	0120	天安门
0261	0121	天坛
0263	0122	西双版纳
0266	0123	圆明园
0267	0124	云岗
0268	0125	运河
0270	0126	曹
0272	0127	邓
0274	0128	冯
0275	0129	郭
0276	0130	韩
0282	0131	李
0284	0132	刘
0285	0133	鲁
0286	0134	罗
0291	0135	孙
0292	0136	王
0295	0137	吴
0296	0138	武
0297	0139	许（徐）
0298	0140	薛
0299	0141	阎
0302	0142	俞（余）
0304	0143	张
0316	0144	衣服
0318	0145	西服
0319	0146	衬衣
0320	0147	裤子
0322	0148	背心
0323	0149	汗衫
0326	0150	连衣裙
0327	0151	帽子
0328	0152	鞋子
0329	0153	袜子
0331	0154	手套
0332	0155	围巾
0335	0156	包袱
0337	0157	行李
0338	0158	爆米花
0339	0159	点心
0340	0160	粉丝
0343	0161	挂面
0346	0162	快餐
0348	0163	啤酒
0349	0164	汽水
0350	0165	肉肠
0351	0166	西餐
0352	0167	饮料
0354	0168	粽子
0355	0169	食品
0356	0170	饭（米、米饭）
0357	0171	粥
0358	0172	面粉
0359	0173	面条
0360	0174	面包
0362	0175	饼
0364	0176	馅饼
0367	0177	饺子
0369	0178	花卷
0371	0179	蛋糕
0372	0180	饼干
0379	0181	蛋
0383	0182	酱油
0387	0183	香烟
0388	0184	茶
0392	0185	冰激凌（冰淇凌）
0393	0186	开水（沸水）
0394	0187	被罩
0395	0188	背包
0397	0189	鞭炮（炮竹）
0399	0190	餐巾
0402	0191	抽油烟机
0405	0192	搓板
0406	0193	大头针
0408	0194	灯罩
0410	0195	斗篷
0412	0196	耳机
0414	0197	棍棒
0415	0198	护肤霜
0417	0199	换气扇
0418	0200	回形针（曲别针）
0421	0201	胶水
0424	0202	空调器
0425	0203	口红
0428	0204	麻袋
0429	0205	煤气罐（液化气瓶）
0434	0206	暖气
0437	0207	热水瓶（暖瓶）
0439	0208	手帕
0440	0209	手杖
0445	0210	台灯
0446	0211	图钉（摁钉）
0448	0212	网兜
0449	0213	微波炉
0450	0214	吸尘器
0452	0215	香水
0457	0216	游戏卡
0458	0217	浴液
0461	0218	熨斗
0462	0219	枕巾
0465	0220	坐垫
0466	0221	家具
0467	0222	床
0468	0223	桌子
0475	0224	床单
0477	0225	褥子
0478	0226	枕头
0485	0227	痰盂
0490	0228	浆糊
0491	0229	肥皂
0492	0230	牙刷（刷牙）
0493	0231	牙膏
0500	0232	尺
0507	0233	蜡烛
0508	0234	电筒
0510	0235	电表
0513	0236	打火机
0518	0237	电风扇
0522	0238	洗衣机
0523	0239	收录机
0524	0240	碗
0525	0241	筷
0526	0242	杯子
0528	0243	葫芦
0535	0244	罐子
0537	0245	篮子
0539	0246	刀
0541	0247	炊帚
0542	0248	笊篱
0544	0249	案板
0545	0250	擀面杖
0547	0251	锅盖
0554	0252	煤气
0555	0253	木炭
0556	0254	柴刀
0557	0255	柴火（劈柴）
0558	0256	火柴
0560	0257	自来水
0563	0258	不久
0566	0259	除夕
0567	0260	初期
0570	0261	当时
0572	0262	分钟
0573	0263	伏天
0577	0264	过期（逾期）
0578	0265	后期
0579	0266	机会（机遇）
0581	0267	近代
0583	0268	经过
0586	0269	每天
0590	0270	秒钟
0591	0271	年限
0595	0272	迄今
0597	0273	前夕
0598	0274	清明节
0600	0275	日期
0604	0276	闰年
0613	0277	同时
0614	0278	提前
0617	0279	现在
0619	0280	限期
0622	0281	一刹那（瞬间）
0629	0282	终身
0631	0283	周期
0632	0284	最近
0636	0285	朝代
0637	0286	年代
0638	0287	年号
0640	0288	时间（时候）
0641	0289	季节
0642	0290	节气
0643	0291	年
0644	0292	月（一个月）
0645	0293	日（一日）
0650	0294	立春
0651	0295	立夏
0658	0296	星期一
0659	0297	一星期
0660	0298	今天
0661	0299	明天
0664	0300	早上（早晨）
0665	0301	晚上
0667	0302	中午
0668	0303	下午
0670	0304	以后
0672	0305	临时（刚才、一会儿）
0674	0306	节日
0677	0307	劳动节（五一节）
0680	0308	圣诞节
0681	0309	春节
0682	0310	聋人节
0683	0311	背面
0684	0312	边
0685	0313	边缘
0686	0314	侧面
0687	0315	对面
0688	0316	附近
0689	0317	旁边
0693	0318	方向
0694	0319	位（位置）
0695	0320	东
0696	0321	西
0699	0322	上
0700	0323	下
0701	0324	左
0702	0325	右
0703	0326	前
0707	0327	表面
0708	0328	内（里面）
0711	0329	碧绿
0713	0330	差（劣）
0717	0331	催
0718	0332	摧毁
0721	0333	方便
0722	0334	防止
0725	0335	腐烂
0727	0336	褐色
0728	0337	洪亮
0731	0338	混（浑浊）
0733	0339	吉祥
0737	0340	爽快
0738	0341	透明
0741	0342	完美（完善）
0743	0343	醒
0744	0344	炎热
0745	0345	颜色（彩色）
0749	0346	悠扬
0753	0347	棕
0754	0348	褶子
0758	0349	长
0760	0350	高
0761	0351	矮（低）
0767	0352	落
0768	0353	厚
0772	0354	胖（肥）
0774	0355	直
0776	0356	好
0781	0357	圆
0783	0358	钝（秃）
0784	0359	大
0789	0360	沾
0790	0361	干
0791	0362	湿
0792	0363	多
0793	0364	少
0797	0365	疏
0798	0366	空
0799	0367	实
0801	0368	松
0803	0369	缩
0805	0370	软（柔软）
0806	0371	强
0809	0372	淡
0812	0373	重
0813	0374	稀
0814	0375	轻
0817	0376	老
0819	0377	亮（明）
0821	0378	远
0822	0379	近
0823	0380	快
0824	0381	慢
0825	0382	升
0827	0383	冷（凉）
0828	0384	热
0829	0385	暖（暖和）
0830	0386	饱（满）
0832	0387	新
0834	0388	破
0837	0389	美
0839	0390	真
0840	0391	假
0841	0392	红
0843	0393	蓝
0845	0394	绿
0846	0395	紫
0851	0396	腥
0853	0397	咸
0856	0398	辣
0860	0399	安排
0863	0400	拔
0864	0401	摆
0865	0402	扳
0867	0403	搬运
0869	0404	包
0870	0405	报答
0871	0406	暴露
0875	0407	标榜
0878	0408	表述
0885	0409	采取
0887	0410	操持
0888	0411	测绘
0889	0412	蹭
0890	0413	查询
0895	0414	超越（越过）
0896	0415	嘲弄（嘲笑）
0899	0416	承办
0900	0417	承担
0903	0418	抽
0906	0419	揣
0908	0420	出席
0909	0421	传达
0912	0422	刺（扎）
0913	0423	撮
0914	0424	倡导
0916	0425	搭配
0917	0426	答辩
0918	0427	打扰
0925	0428	滴
0926	0429	抵挡
0928	0430	掂量
0931	0431	跌（摔倒）
0933	0432	顶
0935	0433	逗
0938	0434	堆积
0939	0435	对待
0940	0436	发现
0941	0437	发动
0942	0438	翻
0946	0439	分割
0949	0440	俯冲
0953	0441	搞清（弄清）
0957	0442	拐弯
0959	0443	打
0960	0444	拍
0961	0445	搔（痒）
0962	0446	摸
0963	0447	拉
0967	0448	背
0968	0449	拿（取、得到）
0969	0450	带
0970	0451	抓（揪）
0971	0452	折（掰、拆）
0973	0453	剔
0974	0454	夹
0975	0455	拧
0977	0456	开
0979	0457	填（埋）
0980	0458	塞
0981	0459	插（嵌）
0982	0460	放
0985	0461	铺
0987	0462	掀（揭）
0992	0463	卷
0994	0464	绕
0995	0465	穿
0997	0466	脱
1000	0467	擦
1001	0468	磨
1004	0469	拌
1006	0470	刮
1008	0471	摇
1009	0472	走
1011	0473	跳
1012	0474	踢
1013	0475	坐
1014	0476	蹲
1015	0477	立（站）
1017	0478	跨（越）
1019	0479	来
1020	0480	去（出）
1021	0481	进
1022	0482	退
1023	0483	跟
1024	0484	到
1025	0485	看
1026	0486	听
1027	0487	说（说话）
1028	0488	尝
1029	0489	吃
1030	0490	喝
1033	0491	咽
1035	0492	呼
1039	0493	趴
1040	0494	滚
1041	0495	转
1042	0496	衡量
1053	0497	解除
1054	0498	解散
1055	0499	交替
1057	0500	举
1060	0501	开拓（开辟）
1064	0502	磕碰
1065	0503	啃
1068	0504	跪
1070	0505	笑
1071	0506	哭
1078	0507	停（停止）
1080	0508	用
1082	0509	痛
1083	0510	论述（阐述）
1088	0511	列席
1089	0512	搓
1090	0513	骂
1092	0514	描述（陈述）
1093	0515	命令
1094	0516	命名
