Ori_ID	D_ID	Meaning (Chinese)
0000	0000	人
0002	0001	群众
0006	0002	我
0007	0003	你（您)
0009	0004	我们
0010	0005	你们
0012	0006	自己（个人）
0013	0007	大家
0023	0008	聋人
0038	0009	叔父
0048	0010	哥哥
0049	0011	嫂嫂
0052	0012	弟弟
0053	0013	妹妹
0055	0014	儿子（男孩）
0056	0015	女儿（女孩）
0061	0016	丈夫
0062	0017	妻子
0067	0018	同学
0070	0019	朋友
0073	0020	先生
0074	0021	女士
0082	0022	阿姨
0088	0023	乘客
0098	0024	顾客
0099	0025	雇员（雇工）
0111	0026	研究生
0117	0027	教练
0126	0028	主角
0129	0029	职务
0130	0030	工人
0135	0031	教授
0137	0032	博士
0139	0033	专家
0144	0034	翻译
0146	0035	演员
0149	0036	警察
0153	0037	经理
0159	0038	邮递员
0170	0039	总裁
0171	0040	领导
0172	0041	领袖
0184	0042	主任
0190	0043	代表
0197	0044	成员
0203	0045	邻居
0241	0046	大陆
0268	0047	运河
0292	0048	王
0316	0049	衣服
0319	0050	衬衣
0326	0051	连衣裙
0328	0052	鞋子
0348	0053	啤酒
0349	0054	汽水
0351	0055	西餐
0352	0056	饮料
0356	0057	饭（米、米饭）
0359	0058	面条
0360	0059	面包
0379	0060	蛋
0388	0061	茶
0393	0062	开水（沸水）
0395	0063	背包
0449	0064	微波炉
0522	0065	洗衣机
0524	0066	碗
0526	0067	杯子
0539	0068	刀
0547	0069	锅盖
0555	0070	木炭
0558	0071	火柴
0572	0072	分钟
0577	0073	过期（逾期）
0579	0074	机会（机遇）
0586	0075	每天
0600	0076	日期
0617	0077	现在
0632	0078	最近
0640	0079	时间（时候）
0645	0080	日（一日）
0659	0081	一星期
0660	0082	今天
0661	0083	明天
0664	0084	早上（早晨）
0665	0085	晚上
0667	0086	中午
0668	0087	下午
0670	0088	以后
0672	0089	临时（刚才、一会儿）
0684	0090	边
0687	0091	对面
0688	0092	附近
0689	0093	旁边
0693	0094	方向
0694	0095	位（位置）
0699	0096	上
0700	0097	下
0701	0098	左
0702	0099	右
0713	0100	差（劣）
0717	0101	催
0745	0102	颜色（彩色）
0758	0103	长
0760	0104	高
0776	0105	好
0784	0106	大
0790	0107	干
0792	0108	多
0793	0109	少
0805	0110	软（柔软）
0821	0111	远
0823	0112	快
0827	0113	冷（凉）
0828	0114	热
0829	0115	暖（暖和）
0830	0116	饱（满）
0832	0117	新
0837	0118	美
0839	0119	真
0856	0120	辣
0860	0121	安排
0871	0122	暴露
0890	0123	查询
0918	0124	打扰
0933	0125	顶
0938	0126	堆积
0946	0127	分割
0953	0128	搞清（弄清）
0968	0129	拿（取、得到）
0982	0130	放
0995	0131	穿
1009	0132	走
1013	0133	坐
1014	0134	蹲
1019	0135	来
1020	0136	去（出）
1022	0137	退
1023	0138	跟
1024	0139	到
1025	0140	看
1026	0141	听
1027	0142	说（说话）
1029	0143	吃
1030	0144	喝
1080	0145	用
1136	0146	识别（辨别）
1149	0147	提醒
1171	0148	削
1176	0149	寻找
1179	0150	沿着
1203	0151	工作
1204	0152	休息（休养）
1205	0153	业余
1207	0154	上班
1208	0155	下班
1213	0156	迟到
1237	0157	请假
1239	0158	项目
1241	0159	针对
1244	0160	生活
1253	0161	睡觉
1258	0162	洗澡
1260	0163	回家
1263	0164	缝纫
1269	0165	炒
1275	0166	忙
1277	0167	菜谱
1294	0168	聊天
1297	0169	牌子
1299	0170	品尝
1300	0171	社会
1301	0172	交际
1304	0173	姓名
1313	0174	开会
1314	0175	会见（接见）
1319	0176	欢迎
1327	0177	需要
1334	0178	关系
1337	0179	推荐
1343	0180	估计
1346	0181	意思
1349	0182	鼓励
1351	0183	帮助
1352	0184	照顾
1353	0185	保留
1360	0186	完成
1361	0187	谦让（客气）
1372	0188	暗示
1379	0189	完了
1381	0190	请
1382	0191	谢谢
1386	0192	再见
1387	0193	等候
1388	0194	对不起
1389	0195	抱歉
1391	0196	麻烦（动词）
1393	0197	辛苦
1395	0198	庆祝（祝贺）
1398	0199	要
1399	0200	借
1400	0201	还（给）
1404	0202	按时
1427	0203	客观
1452	0204	比较
1467	0205	特殊（特别）
1471	0206	系统
1473	0207	主动
1474	0208	被动
1478	0209	感情
1479	0210	快乐（高兴）
1480	0211	兴奋
1484	0212	希望
1490	0213	痛恨（恨）
1493	0214	爱
1504	0215	关心（关怀）
1505	0216	担心
1514	0217	兴趣（趣味）
1515	0218	思想（想、思考、考虑）
1521	0219	感觉
1522	0220	想念
1524	0221	记忆（记住）
1525	0222	忘记
1533	0223	理解
1535	0224	研究
1547	0225	共产党
1556	0226	机构
1568	0227	单位
1569	0228	组织
1572	0229	联合会
1583	0230	祖国
1588	0231	路线
1603	0232	奋斗
1633	0233	独立（自立）
1672	0234	分歧
1695	0235	破坏
1702	0236	领域
1722	0237	准备
1723	0238	会议
1729	0239	参加
1731	0240	倡议（建议）
1732	0241	讨论
1746	0242	质询（质问）
1763	0243	处理
1764	0244	处分（处罚）
1765	0245	察看
1773	0246	步骤
1802	0247	民政
1820	0248	守则
1847	0249	根据
1854	0250	故意
1904	0251	公安
1971	0252	巡逻
2036	0253	武装
2088	0254	佛教（和尚）
2093	0255	庙宇
2094	0256	教堂
2140	0257	唐朝
2146	0258	财务
2148	0259	建设
2164	0260	商店
2170	0261	经营
2183	0262	价值
2184	0263	价格（多少钱）
2186	0264	信息
2188	0265	货物（东西）
2198	0266	买
2200	0267	便宜
2208	0268	消费
2217	0269	工资
2220	0270	元（人民币）
2328	0271	资金
2334	0272	机械（机器）
2337	0273	模型
2348	0274	喷漆
2352	0275	公司
2365	0276	数量（多少）
2392	0277	配套
2398	0278	工具
2416	0279	电脑
2468	0280	房子
2476	0281	墙壁
2479	0282	厨房
2503	0283	火车
2506	0284	公共汽车
2550	0285	种植
2588	0286	蔬菜
2612	0287	冬瓜
2616	0288	水果
2692	0289	鸡
2702	0290	马
2717	0291	甲鱼（乌龟）
2718	0292	乌贼
2731	0293	鱼网
2768	0294	目录
2769	0295	内容
2775	0296	油画
2779	0297	图案
2789	0298	书法
2816	0299	复印
2825	0300	胶卷
2843	0301	象棋
2857	0302	学校
2858	0303	教室
2862	0304	大学
2868	0305	学习
2869	0306	学制
2871	0307	课本（书）
2872	0308	课程
2874	0309	上课
2882	0310	读书
2888	0311	记录
2891	0312	考试（测验）
2893	0313	语文
2894	0314	作文
2895	0315	造句
2896	0316	口语
2897	0317	手语
2900	0318	自然
2904	0319	题目
2914	0320	手指字母
2924	0321	笔记
2954	0322	逗号
2970	0323	练习（复习）
2981	0324	省略号（省略）
2984	0325	问题
2985	0326	问号
2993	0327	作业
3005	0328	赛跑
3011	0329	篮球
3037	0330	身体
3122	0331	体温表（温度计）
3136	0332	化验（显微镜）
3169	0333	复活
3181	0334	康复
3184	0335	脸
3204	0336	科学
3206	0337	尖端
3207	0338	技术
3212	0339	数学
3216	0340	比
3218	0341	计算
3220	0342	加（+）
3247	0343	面积
3269	0344	米
3290	0345	额外
3292	0346	轨迹
3296	0347	和
3306	0348	距离
3318	0349	速度
3320	0350	四边形
3370	0351	撞击
3372	0352	光
3387	0353	滑动
3432	0354	天平
3438	0355	化学
3471	0356	媒介
3486	0357	发育
3504	0358	一
3505	0359	二
3506	0360	三
3508	0361	五
3509	0362	六
3522	0363	百
3531	0364	第一次
3535	0365	个
3536	0366	号码
3538	0367	件
3542	0368	条
3548	0369	天空
3553	0370	卫星
3554	0371	太阳
3556	0372	月亮
3558	0373	气候（天气）
3559	0374	天气预报
3563	0375	雨
3565	0376	暴雨（大雨）
3566	0377	风（刮风）
3575	0378	雪
3576	0379	冰
3612	0380	波浪
3627	0381	草坪
3637	0382	溶洞
3672	0383	村
3678	0384	北京市
3696	0385	广东省
3747	0386	郊区
3754	0387	区域
3766	0388	世界
3767	0389	亚洲
3777	0390	中国
3789	0391	印度
3800	0392	德国
3801	0393	法国
3814	0394	英国
3817	0395	美国
3847	0396	动物
3859	0397	狐狸
3860	0398	熊猫
3865	0399	蛇
3883	0400	河马
3888	0401	蝌蚪
3895	0402	企鹅
3903	0403	乌鸦
3946	0404	诚实（诚恳）
3956	0405	骄傲
3972	0406	认真
3976	0407	随便
4007	0408	困难
4012	0409	光荣
4015	0410	错误
4033	0411	重要
4064	0412	质量
4065	0413	基础
4068	0414	核心
4086	0415	完全
4141	0416	事情
4146	0417	情况
4147	0418	目标
4151	0419	负责
4166	0420	继续
4169	0421	掌握（把握）
4188	0422	深入
4205	0423	努力
4222	0424	公益
4245	0425	相同
4293	0426	首先
4299	0427	当然
4303	0428	可能
4305	0429	或者
4309	0430	如果
4317	0431	按照（按）
4318	0432	由于（由）
4319	0433	如何（怎么、怎么样）
4320	0434	为
4323	0435	没有（无）
4324	0436	不
4325	0437	和（与、同）
4327	0438	曾经（已经）
4328	0439	差不多
4329	0440	稍微
4332	0441	能（能够、可以）
4336	0442	在
4337	0443	是
4338	0444	对
4339	0445	都（全）
4341	0446	愿（愿意）
4342	0447	这里
4343	0448	那里
4344	0449	哪儿
4345	0450	哪些
4347	0451	最（很、十分）
4348	0452	就
4350	0453	什么
4360	0454	了
4361	0455	另外
4364	0456	然后
4365	0457	如果
4369	0458	太
4371	0459	唯一
4373	0460	也
4375	0461	应该（应当）
4376	0462	永远
4377	0463	又（再、还）
4378	0464	0
4379	0465	1
4380	0466	2
4381	0467	3
4382	0468	4
4383	0469	5
4384	0470	6
4385	0471	7
4386	0472	8
4387	0473	9
4388	0474	A
4389	0475	B
4390	0476	C
4391	0477	D
4392	0478	E
4393	0479	F
4394	0480	G
4395	0481	H
4396	0482	I
4397	0483	J
4398	0484	K
4399	0485	L
4400	0486	M
4401	0487	N
4402	0488	O
4403	0489	P
4404	0490	Q
4405	0491	R
4406	0492	S
4407	0493	T
4408	0494	U
4409	0495	V
4410	0496	W
4411	0497	X
4412	0498	Y
4413	0499	Z
