ID	Meaning (Chinese)
0000	人
0001	人民
0002	群众
0003	公民
0004	国民
0005	市民
0006	我
0007	你（您)
0008	他
0009	我们
0010	你们
0011	他们
0012	自己（个人）
0013	大家
0014	谁
0015	某人
0016	男
0017	女（姑娘）
0018	婴儿
0019	小孩（少年、儿童）
0020	青年
0021	老人
0022	残疾人
0023	聋人
0024	盲人
0025	肢残人
0026	弱智人
0027	健全人
0028	家属
0029	亲戚（亲属）
0030	祖父（爷爷）
0031	祖母（奶奶）
0032	父亲（爸爸）
0033	母亲（妈妈）
0034	外祖父（外公）
0035	外祖母（外婆）
0036	伯父
0037	伯母
0038	叔父
0039	婶母（婶婶）
0040	姑父
0041	姑母
0042	舅父
0043	舅母
0044	姨夫
0045	姨母
0046	岳父
0047	岳母
0048	哥哥
0049	嫂嫂
0050	姐姐
0051	姐夫
0052	弟弟
0053	妹妹
0054	表哥
0055	儿子（男孩）
0056	女儿（女孩）
0057	外甥
0058	侄子
0059	孙子
0060	孙女
0061	丈夫
0062	妻子
0063	女婿
0064	媳妇
0065	同志
0066	同事
0067	同学
0068	同胞
0069	乡亲（老乡）
0070	朋友
0071	师傅
0072	徒弟
0073	先生
0074	女士
0075	华侨
0076	归侨
0077	侨眷
0078	英雄（模范）
0079	烈士
0080	烈属
0081	军属
0082	阿姨
0083	宝贝
0084	保姆
0085	辈
0086	标兵
0087	别人
0088	乘客
0089	成年人（大人）
0090	东道主
0091	恩人
0092	副手
0093	夫人（太太）
0094	公仆
0095	公公
0096	功臣
0097	孤儿
0098	顾客
0099	雇员（雇工）
0100	寡妇
0101	官
0102	妓女（娼妓）
0103	矿工（名词）
0104	老板
0105	旅客
0106	明星
0107	婆婆（婆母）
0108	新郎
0109	新娘
0110	学士
0111	研究生
0112	债权人（债主)
0113	主持人（司仪）
0114	裁缝
0115	个体户
0116	讲师
0117	教练
0118	经纪人
0119	猎手
0120	门卫
0121	模特儿
0122	牧民
0123	配角
0124	向导
0125	园丁
0126	主角
0127	职业
0128	职权
0129	职务
0130	工人
0131	农民
0132	商人
0133	校长
0134	教师
0135	教授
0136	导师
0137	博士
0138	硕士
0139	专家
0140	作家
0141	画家
0142	编辑
0143	记者
0144	翻译
0145	导演
0146	演员
0147	医生（大夫）
0148	护士
0149	警察
0150	律师
0151	董事
0152	理事
0153	经理
0154	厂长
0155	技师
0156	会计
0157	驾驶员
0158	炊事员
0159	邮递员
0160	保育员
0161	职员
0162	公务员
0163	内行
0164	外行
0165	参赞
0166	领队
0167	领班
0168	评委
0169	助理
0170	总裁
0171	领导
0172	领袖
0173	主席
0174	总统
0175	元首
0176	总理
0177	大使
0178	首长（××长）
0179	部长
0180	厅长
0181	局长
0182	处长
0183	科长
0184	主任
0185	秘书
0186	书记
0187	常委
0188	委员
0189	顾问
0190	代表
0191	干部
0192	队长
0193	组长
0194	会员
0195	称呼（称谓）
0196	称号
0197	成员
0198	地位
0199	对手
0200	居民
0201	级别
0202	客户
0203	邻居
0204	盲流
0205	名义
0206	难民
0207	强者
0208	弱者
0209	人类
0210	先锋
0211	灾民
0212	资格（资历）
0213	祖先（祖宗）
0214	知识分子
0215	学生
0216	资本家
0217	地主
0218	富农
0219	中农
0220	贫农
0221	皇帝
0222	皇后
0223	贵妃
0224	太子
0225	公主
0226	贵族
0227	状元
0228	进士
0229	秀才
0230	官僚
0231	军阀
0232	奴隶
0233	强盗
0234	流氓
0235	叛徒
0236	特务（间谍）
0237	反革命
0238	敌人（仇人）
0239	渤海
0240	长城
0241	大陆
0242	大亚湾
0243	都江堰
0244	峨眉山
0245	烽火台
0246	葛洲坝
0247	故宫
0248	淮河
0249	黄浦江
0250	嘉峪关
0251	井冈山
0252	庐山
0253	秦岭
0254	日月潭
0255	少林寺
0256	神农架
0257	泰山
0258	塔里木
0259	塘沽
0260	天安门
0261	天坛
0262	吐鲁番
0263	西双版纳
0264	鸭绿江
0265	颐和园
0266	圆明园
0267	云岗
0268	运河
0269	珠穆朗玛峰
0270	曹
0271	陈
0272	邓
0273	杜
0274	冯
0275	郭
0276	韩
0277	何
0278	胡
0279	江
0280	蒋
0281	孔
0282	李
0283	梁
0284	刘
0285	鲁
0286	罗
0287	毛
0288	彭
0289	沈
0290	苏
0291	孙
0292	王
0293	汪
0294	魏
0295	吴
0296	武
0297	许（徐）
0298	薛
0299	阎
0300	杨
0301	姚
0302	俞（余）
0303	于
0304	张
0305	章
0306	赵
0307	郑
0308	周
0309	朱
0310	丝
0311	丝绸
0312	呢绒
0313	尼龙（锦纶）
0314	晴纶
0315	涤纶（的确良）
0316	衣服
0317	制服（中山装）
0318	西服
0319	衬衣
0320	裤子
0321	裤衩
0322	背心
0323	汗衫
0324	茄克衫
0325	裙子
0326	连衣裙
0327	帽子
0328	鞋子
0329	袜子
0330	靴子
0331	手套
0332	围巾
0333	腰带
0334	带子
0335	包袱
0336	袋子
0337	行李
0338	爆米花
0339	点心
0340	粉丝
0341	粉条
0342	瓜子
0343	挂面
0344	果脯
0345	咖啡
0346	快餐
0347	粘糕
0348	啤酒
0349	汽水
0350	肉肠
0351	西餐
0352	饮料
0353	元霄（汤圆）
0354	粽子
0355	食品
0356	饭（米、米饭）
0357	粥
0358	面粉
0359	面条
0360	面包
0361	馒头
0362	饼
0363	烙饼
0364	馅饼
0365	包子
0366	窝头
0367	饺子
0368	混沌
0369	花卷
0370	油条
0371	蛋糕
0372	饼干
0373	牛奶
0374	豆浆
0375	豆腐
0376	淀粉
0377	汤
0378	肉
0379	蛋
0380	油
0381	盐
0382	酱
0383	酱油
0384	醋
0385	味精
0386	糖（糖果）
0387	香烟
0388	茶
0389	酒
0390	罐头
0391	冰棍（雪糕）
0392	冰激凌（冰淇凌）
0393	开水（沸水）
0394	被罩
0395	背包
0396	笔芯
0397	鞭炮（炮竹）
0398	别针
0399	餐巾
0400	唱片（唱盘）
0401	抽屉
0402	抽油烟机
0403	床罩
0404	吹风机
0405	搓板
0406	大头针
0407	垫子
0408	灯罩
0409	斗笠
0410	斗篷
0411	摁钮
0412	耳机
0413	发胶
0414	棍棒
0415	护肤霜
0416	话筒(麦克风）
0417	换气扇
0418	回形针（曲别针）
0419	计算器
0420	加湿器
0421	胶水
0422	镜框
0423	卷笔刀
0424	空调器
0425	口红
0426	矿泉壶
0427	沐浴器
0428	麻袋
0429	煤气罐（液化气瓶）
0430	煤气灶
0431	摩丝
0432	墨镜
0433	霓虹灯
0434	暖气
0435	喷壶
0436	屏风
0437	热水瓶（暖瓶）
0438	闪光灯
0439	手帕
0440	手杖
0441	书包
0442	刷子
0443	水龙头
0444	塑料袋
0445	台灯
0446	图钉（摁钉）
0447	拖鞋
0448	网兜
0449	微波炉
0450	吸尘器
0451	洗涤剂
0452	香水
0453	摇篮
0454	印泥
0455	音响
0456	游戏机
0457	游戏卡
0458	浴液
0459	圆珠笔
0460	月票
0461	熨斗
0462	枕巾
0463	枕套
0464	钟
0465	坐垫
0466	家具
0467	床
