actual_gloss,normalized_gloss
人,PEOPLE
群众,CROWD
我,ME
你（您),YOU
我们,WE
你们,YOU_PLURAL
自己（个人）,SELF
大家,EVERYONE
青年,YOUTH
老人,ELDER
聋人,DEAF
家属,FAMILY
伯母,AUNTY
叔父,PATERNAL_UNCLE
婶母（婶婶）,PATERNAL_AUNT
舅父,MATERNAL_UNCLE
舅母,MATERNAL_AUNT_IN_LAW
姨母,MATERNAL_AUNT
岳父,FATHER_IN_LAW
岳母,MOTHER_IN_LAW
哥哥,ELDER_BROTHER
嫂嫂,SISTER_IN_LAW
姐姐,ELDER_SISTER
弟弟,YOUNGER_BROTHER
妹妹,YOUNGER_SISTER
儿子（男孩）,SON
女儿（女孩）,DAUGHTER
外甥,NEPHEW
丈夫,HUSBAND
妻子,WIFE
女婿,SON_IN_LAW
媳妇,DAUGHTER_IN_LAW
同事,COLLEAGUE
同学,CLASSMATE
同胞,FELLOW
乡亲（老乡）,VILLAGER
朋友,FRIEND
师傅,MASTER
先生,SIR
女士,MADAM
阿姨,AUNTIE
宝贝,BABY
保姆,NANNY
辈,GENERATION
标兵,MODEL
别人,OTHERS
乘客,PASSENGER
副手,ASSISTANT
公仆,PUBLIC_SERVANT
顾客,CUSTOMER
雇员（雇工）,EMPLOYEE
寡妇,WIDOW
明星,CELEBRITY
婆婆（婆母）,MOTHER_IN_LAW
新娘,BRIDE
研究生,POSTGRADUATE
债权人（债主),CREDITOR
主持人（司仪）,MODERATOR
裁缝,TAILOR
教练,COACH
门卫,GATEKEEPER
向导,WIZARD
主角,PROTAGONIST
职业,PROFESSION
职务,JOB
工人,WORKER
商人,MERCHANT
教师,TEACHER
教授,PROFESSOR
博士,DOCTORATE
专家,EXPERT
编辑,EDIT
记者,REPORTER
翻译,TRANSLATE
演员,ACTOR
警察,POLICE
经理,MANAGER
厂长,FACTORY_MANAGER
技师,TECHNICIAN
会计,ACCOUNTING
邮递员,POSTMAN
公务员,CIVIL_SERVANT
内行,EXPERT
参赞,COUNSELOR
领队,LEADER
评委,JUDGE
总裁,PRESIDENT
领导,LEAD
领袖,LEADER
主席,CHAIRMAN
总统,PRESIDENT
元首,MONARCH
总理,PRIME_MINISTER
大使,AMBASSADOR
主任,DIRECTOR
常委,STANDING_COMMITTEE
代表,REPRESENT
会员,MEMBER
称号,TITLE
成员,MEMBER
居民,RESIDENT
级别,LEVEL
客户,CLIENT
邻居,NEIGHBOR
盲流,MIGRANTS
名义,NAME
人类,HUMANITY
资格（资历）,QUALIFICATION
祖先（祖宗）,ANCESTOR
中农,MIDDLE_PEASANT
皇后,QUEEN
贵妃,CONCUBINE
进士,SCHOLAR
官僚,BUREAUCRACY
反革命,COUNTER_REVOLUTIONARY
大陆,MAINLAND
烽火台,LIGHTHOUSE
淮河,HUAI_RIVER
少林寺,MONASTERY
泰山,MOUNT_TAI
天安门,TIANANMEN_SQUARE
天坛,TEMPLE_OF_HEAVEN
西双版纳,XISHUANGBANNA
圆明园,YUANMINGYUAN
云岗,YUNGANG
运河,CANAL
曹,CAO
邓,DENG
冯,FENG
郭,GUO
韩,HAN
李,LEE
刘,LIU
鲁,LU
罗,LUO
孙,SUN
王,WANG
吴,WU
武,WU
许（徐）,XU
薛,XUE
阎,YAN
俞（余）,YU
张,ZHANG
衣服,DRESS
西服,SUIT
衬衣,SHIRT
裤子,PANT
背心,VEST
汗衫,UNDERSHIRT
连衣裙,DRESS
帽子,HAT
鞋子,SHOE
袜子,SOCK
手套,GLOVE
围巾,SCARF
包袱,BURDEN
行李,LUGGAGE
爆米花,POPCORN
点心,DESSERT
粉丝,FAN
挂面,VERMICELLI
快餐,FAST_FOOD
啤酒,BEER
汽水,SODA
肉肠,SAUSAGE
西餐,WESTERN_FOOD
饮料,DRINKS
粽子,ZONGZI
食品,FOOD
饭（米、米饭）,RICE
粥,PORRIDGE
面粉,FLOUR
面条,NOODLE
面包,BREAD
饼,CAKE
馅饼,PIE
饺子,DUMPLING
花卷,HANAMAKI
蛋糕,CAKE
饼干,BISCUIT
蛋,EGG
酱油,SOY_SAUCE
香烟,CIGARETTE
茶,TEA
冰激凌（冰淇凌）,ICE_CREAM
开水（沸水）,BOILING_WATER
被罩,BEDSPREAD
背包,BAG
鞭炮（炮竹）,FIRECRACKER
餐巾,NAPKIN
抽油烟机,EXTRACTOR_HOOD
搓板,WASHBOARD
大头针,PIN
灯罩,LAMPSHADE
斗篷,CLOAK
耳机,EARPHONE
棍棒,STICK
护肤霜,CREAM
换气扇,VENTILATOR
回形针（曲别针）,PAPER_CLIP
胶水,GLUE
空调器,AIR_CONDITIONER
口红,LIPSTICK
麻袋,SACK
煤气罐（液化气瓶）,GAS_CYLINDER
暖气,WARM_AIR
热水瓶（暖瓶）,THERMOS
手帕,HANDKERCHIEF
手杖,CANE
台灯,LAMP
图钉（摁钉）,THUMBPIN
网兜,STRING_BAG
微波炉,OVEN
吸尘器,VACUUM_CLEANER
香水,PERFUME
游戏卡,PLAYING_CARD
浴液,BODY_WASH
熨斗,IRON
枕巾,PILLOW_COVER
坐垫,CUSHION
家具,FURNITURE
床,BED
桌子,TABLE
床单,SHEET
褥子,MATTRESS
枕头,PILLOW
痰盂,SPITTOON
浆糊,PASTE
肥皂,SOAP
牙刷（刷牙）,TOOTHBRUSH
牙膏,TOOTHPASTE
尺,RULER_SCALE
蜡烛,CANDLE
电筒,TORCH
电表,ELECTRICITY_METER
打火机,LIGHTER
电风扇,ELECTRIC_FAN
洗衣机,WASHING_MACHINE
收录机,TAPE_RECORDER
碗,BOWL
筷,CHOPSTICK
杯子,CUP
葫芦,BOTTLE_GOURD
罐子,JAR
篮子,BASKET
刀,KNIFE
炊帚,COOKING_BROOM
笊篱,FENCE
案板,CHOPPING_BOARD
擀面杖,ROLLING_PIN
锅盖,POT_LID
煤气,GAS
木炭,CHARCOAL
柴刀,HATCHET
柴火（劈柴）,FIREWOOD
火柴,MATCH_STICK
自来水,TAP_WATER
不久,SOON
除夕,NEW_YEAR
初期,INITIAL
当时,INITIAL
分钟,MINUTE
伏天,DOG_DAYS
过期（逾期）,EXPIRE
后期,EXPIRE
机会（机遇）,OPPORTUNITY
近代,MODERN
经过,GO_THROUGH
每天,DAILY
秒钟,SECOND
年限,DURATION
迄今,SO_FAR
前夕,EVE
清明节,TOMB_SWEEPING_DAY
日期,DATE
闰年,LEAP_YEAR
同时,SIMULTANEOUS
提前,EARLY
现在,NOW
限期,DEADLINE
一刹那（瞬间）,MOMENT
终身,LIFELONG
周期,CYCLE
最近,RECENT
朝代,DYNASTY
年代,ERA
年号,DECADE
时间（时候）,TIME
季节,SEASON
节气,CLIMATE
年,YEAR
月（一个月）,MONTH
日（一日）,DAY
立春,START_OF_SPRING
立夏,START_OF_SUMMER
星期一,MONDAY
一星期,WEEK
今天,TODAY
明天,TOMORROW
早上（早晨）,MORNING
晚上,NIGHT
中午,NOON
下午,AFTERNOON
以后,AFTER
临时（刚才、一会儿）,TEMPORARY
节日,FESTIVAL
劳动节（五一节）,MAY_DAY
圣诞节,CHRISTMAS
春节,SPRING_FESTIVAL
聋人节,DEAF_DAY
背面,BACK
边,SIDE
边缘,EDGE
侧面,SIDE
对面,OPPOSITE
附近,NEARBY
旁边,BESIDE
方向,DIRECTION
位（位置）,LOCATION
东,EAST
西,WEST
上,NORTH
下,SOUTH
左,LEFT
右,RIGHT
前,FORWARD
表面,SURFACE
内（里面）,INSIDE
碧绿,GREEN
差（劣）,POOR
催,URGE
摧毁,DESTROY
方便,CONVENIENCE
防止,PREVENT
腐烂,ROT
褐色,BROWN
洪亮,LOUD
混（浑浊）,CLOUDY
吉祥,AUSPICIOUS
爽快,READY
透明,TRANSPARENT
完美（完善）,PERFECT
醒,AWAKE
炎热,HOT
颜色（彩色）,COLOR
悠扬,MELODY
棕,BROWN
褶子,PLEATS
长,LONG
高,HIGH
矮（低）,LOW
落,FALL
厚,THICK
胖（肥）,FAT
直,STRAIGHT
好,OKAY
圆,ROUND
钝（秃）,BLUNT
大,BIG
沾,SOAK
干,DRY
湿,WET
多,MANY
少,FEW
疏,SPARSE
空,EMPTY
实,REALITY
松,LOOSE
缩,SHRINK
软（柔软）,SOFT
强,POWERFUL
淡,PALE
重,HEAVY
稀,THIN
轻,LIGHT
老,OLD
亮（明）,BRIGHT
远,FAR
近,CLOSE
快,QUICK
慢,SLOW
升,RISE
冷（凉）,COLD
热,HOT
暖（暖和）,WARM
饱（满）,FULL
新,NEW
破,BREAK
美,BEAUTIFUL
真,REAL
假,FAKE
红,RED
蓝,BLUE
绿,GREEN
紫,PURPLE
腥,SMELLY
咸,SALTY
辣,HOT
安排,ARRANGE
拔,PULL
摆,PUT
扳,PULL
搬运,CARRY
包,BAG
报答,REPAY
暴露,EXPOSE
标榜,BRAG
表述,EXPRESS
采取,TAKE
操持,MANAGE
测绘,DRAW
蹭,RUB
查询,INQUIRE
超越（越过）,CROSS
嘲弄（嘲笑）,MOCK
承办,UNDERTAKE
承担,BEAR
抽,SMOKE
揣,IMAGINE
出席,ATTEND
传达,CONVEY
刺（扎）,THORN
撮,GATHER
倡导,ADVOCATE
搭配,MATCH
答辩,REPLY
打扰,DISTURB
滴,DROP
抵挡,WITHSTAND
掂量,WEIGH
跌（摔倒）,FALL
顶,TOP
逗,TEASE
堆积,ACCUMULATE
对待,TREAT
发现,DISCOVER
发动,LAUNCH
翻,TURN
分割,SPLIT
俯冲,DIVE
搞清（弄清）,CLARIFY
拐弯,TURN
打,BEAT
拍,SHOOT
搔（痒）,SCRATCH
摸,TOUCH
拉,PULL
背,BACK
拿（取、得到）,TAKE
带,BELT
抓（揪）,GRAB
折（掰、拆）,BREAK
剔,TICK
夹,FOLDER
拧,SCREW
开,OPEN
填（埋）,BURY
塞,BLOCK
插（嵌）,INSERT
放,RELEASE
铺,SHOP
掀（揭）,REVEAL
卷,ROLL
绕,AROUND
穿,WEAR
脱,REMOVE
擦,WIPE
磨,GRIND
拌,MIX
刮,SCRAPE
摇,SHAKE
走,GO
跳,JUMP
踢,KICK
坐,SIT
蹲,SQUAT
立（站）,STAND
跨（越）,CROSSOVER
来,COME
去（出）,GO
进,ENTER
退,RETREAT
跟,AND
到,ARRIVE
看,LOOK
听,HEAR
说（说话）,SPEAK
尝,TASTE
吃,EAT
喝,DRINK
咽,PHARYNX
呼,CALL
趴,LIE
滚,ROLL
转,TURN
衡量,MEASURE
解除,LIFT
解散,DISSOLVE
交替,ALTERNATE
举,RAISE
开拓（开辟）,OPEN_UP
磕碰,BUMP
啃,BITE
跪,KNEEL
笑,LAUGH
哭,CRY
停（停止）,STOP
用,USE
痛,PAIN
论述（阐述）,DISCUSS
列席,ATTEND
搓,TWIST
骂,SCOLD
描述（陈述）,DESCRIPTION
命令,ORDER
命名,NAME
默哀,SILENCE
凝视,GAZE
凝聚,CONDENSE
喷,SPRAY
拼凑,PUT_TOGETHER
泼水,SPLASH
扑,FLUTTER
