video_path,class_name
P01_2/P01_0002_2_0_20140708.oni/P01_0002_2_0_20140708.oni,2
P01_2/P01_0000_2_0_20140708.oni/P01_0000_2_0_20140708.oni,0
P01_2/P01_0004_2_0_20140708.oni/P01_0004_2_0_20140708.oni,4
P01_2/P01_0005_2_0_20140708.oni/P01_0005_2_0_20140708.oni,5
P01_2/P01_0018_2_0_20140708.oni/P01_0018_2_0_20140708.oni,G
P01_2/P01_0007_2_0_20140708.oni/P01_0007_2_0_20140708.oni,7
P01_2/P01_0009_2_0_20140708.oni/P01_0009_2_0_20140708.oni,9
P01_2/P01_0010_2_0_20140708.oni/P01_0010_2_0_20140708.oni,A
P01_2/P01_0019_2_0_20140708.oni/P01_0019_2_0_20140708.oni,H
P01_2/P01_0014_2_0_20140708.oni/P01_0014_2_0_20140708.oni,CT
P01_2/P01_0026_2_0_20140708.oni/P01_0026_2_0_20140708.oni,O
P01_2/P01_0025_2_0_20140708.oni/P01_0025_2_0_20140708.oni,N
P01_2/P01_0021_2_0_20140708.oni/P01_0021_2_0_20140708.oni,J
P01_2/P01_0023_2_0_20140708.oni/P01_0023_2_0_20140708.oni,L
P01_2/P01_0036_2_0_20140708.oni/P01_0036_2_0_20140708.oni,Y
P01_2/P01_0047_2_0_20140708.oni/P01_0047_2_0_20140708.oni,丈夫
P01_2/P01_0031_2_0_20140708.oni/P01_0031_2_0_20140708.oni,T
P01_2/P01_0043_2_0_20140708.oni/P01_0043_2_0_20140708.oni,一星期
P01_2/P01_0033_2_0_20140708.oni/P01_0033_2_0_20140708.oni,V
P01_2/P01_0032_2_0_20140708.oni/P01_0032_2_0_20140708.oni,U
P01_2/P01_0053_2_0_20140708.oni/P01_0053_2_0_20140708.oni,上游
P01_2/P01_0045_2_0_20140708.oni/P01_0045_2_0_20140708.oni,七
P01_2/P01_0050_2_0_20140708.oni/P01_0050_2_0_20140708.oni,三轮车
P01_2/P01_0041_2_0_20140708.oni/P01_0041_2_0_20140708.oni,一定
P01_2/P01_0046_2_0_20140708.oni/P01_0046_2_0_20140708.oni,万
P01_2/P01_0042_2_0_20140708.oni/P01_0042_2_0_20140708.oni,一届
P01_2/P01_0055_2_0_20140708.oni/P01_0055_2_0_20140708.oni,上课
P01_2/P01_0052_2_0_20140708.oni/P01_0052_2_0_20140708.oni,上帝
P01_2/P01_0063_2_0_20140708.oni/P01_0063_2_0_20140708.oni,专用
P01_2/P01_0059_2_0_20140708.oni/P01_0059_2_0_20140708.oni,不
P01_2/P01_0064_2_0_20140708.oni/P01_0064_2_0_20140708.oni,世界
P01_2/P01_0060_2_0_20140708.oni/P01_0060_2_0_20140708.oni,不久
P01_2/P01_0075_2_0_20140708.oni/P01_0075_2_0_20140708.oni,中学
P01_2/P01_0079_2_0_20140708.oni/P01_0079_2_0_20140708.oni,串联
P01_2/P01_0074_2_0_20140708.oni/P01_0074_2_0_20140708.oni,中子
P01_2/P01_0077_2_0_20140708.oni/P01_0077_2_0_20140708.oni,中耳炎
P01_2/P01_0069_2_0_20140708.oni/P01_0069_2_0_20140708.oni,个
P01_2/P01_0071_2_0_20140708.oni/P01_0071_2_0_20140708.oni,中午
P01_2/P01_0089_2_0_20140708.oni/P01_0089_2_0_20140708.oni,主角
P01_2/P01_0068_2_0_20140708.oni/P01_0068_2_0_20140708.oni,严峻
P01_2/P01_0076_2_0_20140708.oni/P01_0076_2_0_20140708.oni,中括号
P01_2/P01_0085_2_0_20140708.oni/P01_0085_2_0_20140708.oni,主动
P01_2/P01_0061_2_0_20140708.oni/P01_0061_2_0_20140708.oni,不求甚解
P01_2/P01_0095_2_0_20140708.oni/P01_0095_2_0_20140708.oni,乌鸦
P01_2/P01_0080_2_0_20140708.oni/P01_0080_2_0_20140708.oni,临时（刚才、一会儿）
P01_2/P01_0091_2_0_20140708.oni/P01_0091_2_0_20140708.oni,乌克兰
P01_2/P01_0090_2_0_20140708.oni/P01_0090_2_0_20140708.oni,举
P01_2/P01_0098_2_0_20140708.oni/P01_0098_2_0_20140708.oni,乙
P01_2/P01_0086_2_0_20140708.oni/P01_0086_2_0_20140708.oni,主席
P01_2/P01_0097_2_0_20140708.oni/P01_0097_2_0_20140708.oni,乘（×）
P01_2/P01_0108_2_0_20140708.oni/P01_0108_2_0_20140708.oni,事情
P01_2/P01_0127_2_0_20140708.oni/P01_0127_2_0_20140708.oni,人质
P01_2/P01_0129_2_0_20140708.oni/P01_0129_2_0_20140708.oni,什么
P01_2/P01_0126_2_0_20140708.oni/P01_0126_2_0_20140708.oni,人类
P01_2/P01_0119_2_0_20140708.oni/P01_0119_2_0_20140708.oni,交际
P01_2/P01_0100_2_0_20140708.oni/P01_0100_2_0_20140708.oni,也
P01_2/P01_0128_2_0_20140708.oni/P01_0128_2_0_20140708.oni,亿
P01_2/P01_0113_2_0_20140708.oni/P01_0113_2_0_20140708.oni,云岗
P01_2/P01_0115_2_0_20140708.oni/P01_0115_2_0_20140708.oni,五十
P01_2/P01_0141_2_0_20140708.oni/P01_0141_2_0_20140708.oni,件
P01_2/P01_0135_2_0_20140708.oni/P01_0135_2_0_20140708.oni,代数
P01_2/P01_0136_2_0_20140708.oni/P01_0136_2_0_20140708.oni,代表
P01_2/P01_0131_2_0_20140708.oni/P01_0131_2_0_20140708.oni,今天
P01_2/P01_0137_2_0_20140708.oni/P01_0137_2_0_20140708.oni,以后
P01_2/P01_0111_2_0_20140708.oni/P01_0111_2_0_20140708.oni,二氧化碳
P01_2/P01_0134_2_0_20140708.oni/P01_0134_2_0_20140708.oni,从宽
P01_2/P01_0112_2_0_20140708.oni/P01_0112_2_0_20140708.oni,亏损
P01_2/P01_0143_2_0_20140708.oni/P01_0143_2_0_20140708.oni,价格（多少钱）
P01_2/P01_0116_2_0_20140708.oni/P01_0116_2_0_20140708.oni,亚洲
P01_2/P01_0140_2_0_20140708.oni/P01_0140_2_0_20140708.oni,仪表
P01_2/P01_0145_2_0_20140708.oni/P01_0145_2_0_20140708.oni,企鹅
P01_2/P01_0123_2_0_20140708.oni/P01_0123_2_0_20140708.oni,人
P01_2/P01_0152_2_0_20140708.oni/P01_0152_2_0_20140708.oni,优秀
P01_2/P01_0148_2_0_20140708.oni/P01_0148_2_0_20140708.oni,休息（休养）
P01_2/P01_0146_2_0_20140708.oni/P01_0146_2_0_20140708.oni,伎俩
P01_2/P01_0144_2_0_20140708.oni/P01_0144_2_0_20140708.oni,任命
P01_2/P01_0151_2_0_20140708.oni/P01_0151_2_0_20140708.oni,优点
P01_2/P01_0150_2_0_20140708.oni/P01_0150_2_0_20140708.oni,优惠
P01_2/P01_0159_2_0_20140708.oni/P01_0159_2_0_20140708.oni,传达
P01_2/P01_0157_2_0_20140708.oni/P01_0157_2_0_20140708.oni,会谈
P01_2/P01_0162_2_0_20140708.oni/P01_0162_2_0_20140708.oni,估计
P01_2/P01_0158_2_0_20140708.oni/P01_0158_2_0_20140708.oni,传导
P01_2/P01_0167_2_0_20140708.oni/P01_0167_2_0_20140708.oni,体育
P01_2/P01_0184_2_0_20140708.oni/P01_0184_2_0_20140708.oni,保密
P01_2/P01_0172_2_0_20140708.oni/P01_0172_2_0_20140708.oni,你们
P01_2/P01_0171_2_0_20140708.oni/P01_0171_2_0_20140708.oni,作风
P01_2/P01_0161_2_0_20140708.oni/P01_0161_2_0_20140708.oni,伯母
P01_2/P01_0166_2_0_20140708.oni/P01_0166_2_0_20140708.oni,体现
P01_2/P01_0183_2_0_20140708.oni/P01_0183_2_0_20140708.oni,保守
P01_2/P01_0179_2_0_20140708.oni/P01_0179_2_0_20140708.oni,便条
P01_2/P01_0180_2_0_20140708.oni/P01_0180_2_0_20140708.oni,促进
P01_2/P01_0188_2_0_20140708.oni/P01_0188_2_0_20140708.oni,信
P01_2/P01_0182_2_0_20140708.oni/P01_0182_2_0_20140708.oni,保姆
P01_2/P01_0169_2_0_20140708.oni/P01_0169_2_0_20140708.oni,作业
P01_2/P01_0196_2_0_20140708.oni/P01_0196_2_0_20140708.oni,倒闭
P01_2/P01_0193_2_0_20140708.oni/P01_0193_2_0_20140708.oni,俯冲
P01_2/P01_0197_2_0_20140708.oni/P01_0197_2_0_20140708.oni,借
P01_2/P01_0210_2_0_20140708.oni/P01_0210_2_0_20140708.oni,傈僳族
P01_2/P01_0189_2_0_20140708.oni/P01_0189_2_0_20140708.oni,信仰
P01_2/P01_0201_2_0_20140708.oni/P01_0201_2_0_20140708.oni,倡议（建议）
P01_2/P01_0200_2_0_20140708.oni/P01_0200_2_0_20140708.oni,倡导
P01_2/P01_0186_2_0_20140708.oni/P01_0186_2_0_20140708.oni,保险
