police1/police1_signer1_rep1_sentences/sentences0000|ΓΕΙΑ ΕΓΩ(1) ΜΠΟΡΩ ΒΟΗΘΩ
police1/police1_signer1_rep1_sentences/sentences0001|ΕΓΩ(1) ΘΕΛΩ ΠΑΡΑΠΟΝΟ ΚΑΤΑΓΓΕΛΙΑ
police1/police1_signer1_rep1_sentences/sentences0002|ΠΡΟΒΛΗΜΑ ΤΙ
police1/police1_signer1_rep1_sentences/sentences0003|ΩΡΑ ΓΙΑ ΗΣΥΧΙΑ ΑΚΟΥΩ ΦΑΣΑΡΙΑ
police1/police1_signer1_rep1_sentences/sentences0004|ΠΟΙΟΣ ΕΝΟΧΛΩ_ΕΣΕΝΑ
police1/police1_signer1_rep1_sentences/sentences0005|ΣΠΙΤΙ ΕΓΩ(1) ΚΑΤΩ(2) ΜΑΓΑΖΙ
police1/police1_signer1_rep1_sentences/sentences0006|ΠΡΙΝ ΕΣΥ ΙΔΙΟΚΤΗΤΗΣ ΕΣΥ_ΣΥΖΗΤΑΩ_ΑΥΤΟΝ
police1/police1_signer1_rep1_sentences/sentences0007|ΝΑΙ ΠΡΙΝ ΕΓΩ(1) ΕΣΥ_ΣΥΖΗΤΑΩ_ΑΥΤΟΝ
police1/police1_signer1_rep1_sentences/sentences0008|ΠΡΙΝ ΕΣΥ ΑΣΤΥΝΟΜΙΑ ΤΗΛΕΦΩΝΩ
police1/police1_signer1_rep1_sentences/sentences0009|ΑΠΟΤΕΛΕΣΜΑ ΤΙΠΟΤΑ
police1/police1_signer1_rep1_sentences/sentences0010|ΕΣΥ ΠΗΓΑΙΝΩ ΔΙΚΑΣΤΗΡΙΟ ΕΙΣΑΓΓΕΛΕΑΣ ΠΟΥ ΔΙΚΑΣΤΗΡΙΟ ΕΚΕΙ ΓΡΑΦΕΙΟ 400 5
police1/police1_signer1_rep1_sentences/sentences0011|ΕΝΤΑΞΕΙ
police1/police1_signer1_rep1_sentences/sentences0012|ΓΡΑΦΕΙΟ ΑΝΟΙΧΤΟ ΠΡΩΙ ΣΥΝ ΜΕΣΗΜΕΡΙ
police1/police1_signer1_rep1_sentences/sentences0013|ΕΥΧΑΡΙΣΤΩ
police1/police1_signer1_rep1_sentences/sentences0014|ΚΑΛΟ ΑΠΟΓΕΥΜΑ
police1/police1_signer1_rep2_sentences/sentences0000|ΓΕΙΑ ΕΓΩ(1) ΜΠΟΡΩ ΒΟΗΘΩ
