police1_signer1_rep1_glosses/glosses0000 |x1:170, x2:493, y1:40, y2:480
police1_signer1_rep1_glosses/glosses0001 |x1:145, x2:477, y1:33, y2:480
police1_signer1_rep1_glosses/glosses0002 |x1:139, x2:478, y1:32, y2:480
police1_signer1_rep1_glosses/glosses0003 |x1:169, x2:533, y1:61, y2:480
police1_signer1_rep1_glosses/glosses0004 |x1:135, x2:478, y1:44, y2:480
police1_signer1_rep1_glosses/glosses0005 |x1:173, x2:521, y1:33, y2:480
police1_signer1_rep1_glosses/glosses0006 |x1:118, x2:474, y1:61, y2:480
police1_signer1_rep1_glosses/glosses0007 |x1:184, x2:547, y1:44, y2:478
police1_signer1_rep1_glosses/glosses0008 |x1:191, x2:513, y1:87, y2:480
police1_signer1_rep1_glosses/glosses0009 |x1:144, x2:511, y1:31, y2:480
police1_signer1_rep1_glosses/glosses0010 |x1:153, x2:478, y1:31, y2:480
police1_signer1_rep1_glosses/glosses0011 |x1:125, x2:507, y1:53, y2:480
police1_signer1_rep1_glosses/glosses0012 |x1:174, x2:550, y1:75, y2:480
police1_signer1_rep1_glosses/glosses0013 |x1:178, x2:523, y1:55, y2:480
police1_signer1_rep1_glosses/glosses0014 |x1:144, x2:532, y1:59, y2:480
police1_signer1_rep1_glosses/glosses0015 |x1:140, x2:486, y1:28, y2:480
police1_signer1_rep1_glosses/glosses0016 |x1:153, x2:482, y1:44, y2:480
police1_signer1_rep1_glosses/glosses0017 |x1:137, x2:555, y1:34, y2:480
police1_signer1_rep1_glosses/glosses0018 |x1:180, x2:535, y1:59, y2:480
police1_signer1_rep1_glosses/glosses0019 |x1:136, x2:477, y1:43, y2:480
police1_signer1_rep1_glosses/glosses0020 |x1:126, x2:499, y1:51, y2:480
police1_signer1_rep1_glosses/glosses0021 |x1:190, x2:541, y1:42, y2:480
police1_signer1_rep1_glosses/glosses0022 |x1:144, x2:517, y1:56, y2:480
police1_signer1_rep1_glosses/glosses0023 |x1:145, x2:487, y1:42, y2:480
police1_signer1_rep1_glosses/glosses0024 |x1:149, x2:561, y1:76, y2:480
police1_signer1_rep1_glosses/glosses0025 |x1:124, x2:495, y1:46, y2:480
police1_signer1_rep1_glosses/glosses0026 |x1:178, x2:486, y1:54, y2:480
police1_signer1_rep1_glosses/glosses0027 |x1:180, x2:553, y1:78, y2:480
police1_signer1_rep1_glosses/glosses0028 |x1:135, x2:543, y1:76, y2:480
police1_signer1_rep1_glosses/glosses0029 |x1:131, x2:466, y1:44, y2:480
police1_signer1_rep1_glosses/glosses0030 |x1:135, x2:535, y1:65, y2:480
police1_signer1_rep1_glosses/glosses0031 |x1:127, x2:498, y1:28, y2:480
police1_signer1_rep1_glosses/glosses0032 |x1:136, x2:458, y1:28, y2:480
police1_signer1_rep1_glosses/glosses0033 |x1:154, x2:510, y1:58, y2:480
police1_signer1_rep1_glosses/glosses0034 |x1:135, x2:469, y1:24, y2:479
police1_signer1_rep1_glosses/glosses0035 |x1:199, x2:532, y1:43, y2:480
police1_signer1_rep1_glosses/glosses0036 |x1:162, x2:506, y1:33, y2:480
police1_signer1_rep1_glosses/glosses0037 |x1:155, x2:518, y1:49, y2:480
police1_signer1_rep1_glosses/glosses0038 |x1:139, x2:512, y1:38, y2:480
police1_signer1_rep1_glosses/glosses0039 |x1:162, x2:496, y1:47, y2:480
police1_signer1_rep1_glosses/glosses0040 |x1:184, x2:532, y1:52, y2:480
police1_signer1_rep1_glosses/glosses0041 |x1:151, x2:466, y1:46, y2:480
