actual_gloss,normalized_gloss
1,ONE
10,TEN
1000,THOUSAND
14,FOURTEEN
15,FIFTEEN
18,EIGHTEEN
2,TWO
20,TWENTY
200,TWO_HUNDRED
3,THREE
30,THIRTY
400,FOUR_HUNDRED
5,FIVE
60,SIXTY
ΑΔΕΙΑ,PERMISSION
ΑΔΥΝΑΤΟΣ,WEAK
ΑΙΜΑ,BLOOD
ΑΙΤΗΣΗ,APPLICATION
ΑΚΟΜΑ,STILL
ΑΚΟΥΟΓΡΑΜΜΑ,AUDIOGRAPHY
ΑΚΟΥΩ,HEAR
ΑΚΟΥΩ_ΜΕΙΩΝΩ,REDUCE
ΑΚΡΙΒΩΣ,EXACT
ΑΛΗΘΕΙΑ,TRUTH
ΑΛΛΑ,BUT
ΑΜΚΑ(Δ.Α.),A+M+K+A
ΑΝΑΘΕΤΩ,ASSIGN
ΑΝΑΠΗΡΙΑ,DISABILITY
ΑΝΔΡΑΣ,MAN
ΑΝΕΡΓΟΣ,UNEMPLOYED
ΑΝΕΤΟ,COMFORTABLE
ΑΝΟΙΧΤΟ,OPEN
ΑΞΙΟΛΟΓΗΣΗ,EVALUATION
ΑΠΟ_ΠΑΝΩ,FROM_ABOVE
ΑΠΟΓΕΥΜΑ,AFTERNOON
ΑΠΟΓΡΑΦΗ,CENSUS
ΑΠΟΔΕΙΞΗ,EVIDENCE
ΑΠΟΔΕΧΟΜΑΙ,ACCEPT
ΑΠΟΤΕΛΕΣΜΑ,RESULT
ΑΠΟΥΣΙΑ,ABSENCE
ΑΡΙΘΜΟΣ,NUMBER
ΑΡΡΩΣΤΟΣ,ILL
ΑΡΧΙΖΩ,START
ΑΣΠΡΟ,WHITE
ΑΣΤΥΝΟΜΙΑ,POLICE
ΑΣΦΑΛΕΙΑ,SECURITY
ΑΥΡΙΟ,TOMORROW
ΑΥΤΗ_ΔΙΝΩ_ΕΜΕΝΑ,SHE_GIVE_ME
ΑΥΤΗ_ΔΙΝΩ_ΕΣΕΝΑ,SHE_GIVE_YOU
ΑΥΤΗ_ΤΗ_ΣΤΙΓΜΗ,CURRENTLY
ΑΥΤΙ,EAR
ΑΥΤΟ,THIS
ΑΥΤΟΚΙΝΗΤΟ,CAR
ΑΥΤΟΣ,HE
ΑΦΕΝΤΙΚΟ,BOSS
ΑΦΜ(Δ.Α.),A+F+M
ΒΑΡΙΑ,HEAVY
ΒΕΒΑΙΩΣΗ,CONFIRMATION
ΒΙΒΛΙΟ,BOOK
ΒΟΗΘΩ,HELP
ΓΑΛΑ,MILK
ΓΕΙΑ,HELLO
ΓΕΝΝΩ,GIVE_BIRTH
ΓΙΑ,FOR
ΓΙΑΟΥΡΤΙ,YOGHURT
ΓΙΑΤΙ,WHY
ΓΙΑΤΡΟΣ(1),DOCTOR
ΓΙΑΤΡΟΣ(2),DOCTOR
ΓΡΑΜΜΑΤΕΙΑ,SECRETARIAT
ΓΡΑΦΕΙΟ,OFFICE
ΓΡΑΦΩ,WRITE
