actual_gloss,normalized_gloss
1. Dog,DOG
1. Religion,RELIGION
1. loud,LOUD
10. Energy,ENERGY
10. Mean,MEAN
10. Plane,AIRPLANE
11. Car,CAR
11. War,WAR
11. rich,RICH
12. Peace,PEACE
12. Truck,TRUCK
12. poor,POOR
13. Attack,ATTACK
13. Bicycle,BICYCLE
13. thick,THICK
14. Bus,BUS
14. Election,ELECTION
14. thin,THIN
15. Boat,BOAT
15. Newspaper,NEWSPAPER
15. expensive,EXPENSIVE
16. Gun,GUN
16. cheap,CHEAP
16. train ticket,TRAIN_TICKET
17. Sport,SPORT
17. Transportation,TRANSPORTATION
17. flat,FLAT
18. City,CITY
18. Exercise,EXERCISE
18. curved,CURVED
19. Ball,BALL
19. House,HOUSE
19. male,MALE
2. Cat,CAT
2. Death,DEATH
2. quiet,QUIET
20. Price,PRICE
20. Street or Road,ROAD
20. female,FEMALE
21. Sign,SIGN
21. Train Station,TRAIN_STATION
21. tight,TIGHT
22. Restaurant,RESTAURANT
22. Science,SCIENCE
22. loose,LOOSE
23. Court,COURT
23. God,GOD
23. high,HIGH
24. School,SCHOOL
24. Table,TABLE
24. low,LOW
25. Chair,CHAIR
25. Office,OFFICE
25. soft,SOFT
26. Bed,BED
26. University,UNIVERSITY
26. hard,HARD
27. Dream,DREAM
27. Park,PARK
27. deep,DEEP
28. Store or Shop,SHOP
28. Window,WINDOW
28. shallow,SHALLOW
29. Door,DOOR
29. Library,LIBRARY
29. clean,CLEAN
3. Fish,FISH
3. Medicine,MEDICINE
3. happy,HAPPY
30. Bedroom,BEDROOM
30. Hospital,HOSPITAL
30. dirty,DIRTY
31. Kitchen,KITCHEN
31. Temple,TEMPLE
31. strong,STRONG
32. Bathroom,BATHROOM
32. Market,MARKET
32. weak,WEAK
33. India,INDIA
33. Pencil,PENCIL
33. dead,DEAD
34. Ground,GROUND
34. Pen,PEN
34. alive,ALIVE
35. Bank,BANK
35. Photograph,PHOTOGRAPH
35. heavy,HEAVY
36. Location,LOCATION
36. Soap,SOAP
36. light,LIGHT
37. Book,BOOK
37. Hat,HAT
38. Dress,DRESS
38. Page,PAGE
39. Key,KEY
39. Suit,SUIT
39. famous,FAMOUS
4. Bird,BIRD
4. Money,MONEY
4. sad,SAD
40. I,ME
40. Paint,PAINT
40. Skirt,SKIRT
41. Letter,LETTER
41. Shirt,SHIRT
41. you,YOU
42. Paper,PAPER
42. T-Shirt,T-SHIRT
42. he,HE
43. Lock,LOCK
43. Pant,PANT
43. she,SHE
44. Shoes,SHOE
44. Telephone,TELEPHONE
44. it,IT
45. Bag,BAG
45. Pocket,POCKET
45. we,WE
46. Box,BOX
46. Clothing,DRESS
46. you (plural),YOU_PLURAL
47. Gift,GIFT
47. Red,RED
47. they,THEY
48. Card,CARD
48. Green,GREEN
48. Hello,HELLO
49. Blue,BLUE
49. How are you,HOW_ARE_YOU
49. Ring,RING
5. Beautiful,BEAUTIFUL
5. Bill,BILL
5. Cow,COW
50. Alright,ALRIGHT
50. Tool,TOOL
50. Yellow,YELLOW
51. Brown,BROWN
51. Clock,CLOCK
51. Good Morning,GOOD_MORNING
52. Good afternoon,GOOD_AFTERNOON
52. Lamp,LAMP
52. Pink,PINK
53. Fan,FAN
53. Good evening,GOOD_EVENING
53. Orange,ORANGE
54. Black,BLACK
54. Cell phone,CELL_PHONE
54. Good night,GOOD_NIGHT
55. Computer,COMPUTER
55. Thank you,THANK_YOU
55. White,WHITE
56. Grey,GRAY
56. Laptop,LAPTOP
56. Pleased,PLEASED
57. Colour,COLOUR
57. Screen,SCREEN
58. Camera,CAMERA
58. Son,SON
59. Daughter,DAUGHTER
59. Television,TELEVISION
6. Marriage,MARRIAGE
6. Mouse,MOUSE
6. Ugly,UGLY
60. Mother,MOTHER
60. Radio,RADIO
61. Father,FATHER
61. Summer,SUMMER
62. Parent,PARENT
62. Spring,SPRING
63. Baby,BABY
63. Winter,WINTER
64. Fall,FALL
64. Man,MAN
65. Season,SEASON
65. Woman,WOMAN
66. Brother,BROTHER
66. Sunday,SUNDAY
67. Monday,MONDAY
67. Sister,SISTER
68. Family,FAMILY
68. Tuesday,TUESDAY
69. Grandfather,GRANDFATHER
69. Wednesday,WEDNESDAY
7. Deaf,DEAF
7. Horse,HORSE
7. Team,TEAM
70. Grandmother,GRANDMOTHER
70. Thursday,THURSDAY
71. Friday,FRIDAY
71. Husband,HUSBAND
72. Saturday,SATURDAY
72. Wife,WIFE
73. King,KING
73. Today,TODAY
74. Queen,QUEEN
74. Tomorrow,TOMORROW
75. President,PRESIDENT
75. Yesterday,YESTERDAY
76. Neighbour,NEIGHBOUR
76. Week,WEEK
77. Boy,BOY
77. Month,MONTH
78. Girl,GIRL
78. Year,YEAR
78. long,LONG
79. Child,CHILD
79. Hour,HOUR
79. short,SHORT
8. Animal,ANIMAL
8. Blind,BLIND
8. Race (ethnicity),ETHNICITY
80. Adult,ADULT
80. Minute,MINUTE
80. tall,TALL
81. Friend,FRIEND
81. Second,SECOND
81. wide,WIDE
82. Morning,MORNING
82. Player,PLAYER
82. narrow,NARROW
83. Afternoon,AFTERNOON
83. Crowd,CROWD
83. big large,BIG
84. Evening,EVENING
84. Teacher,TEACHER
84. small little,LITTLE
85. Night,NIGHT
85. Student,STUDENT
85. slow,SLOW
86. Lawyer,LAWYER
86. Time,TIME
86. fast,FAST
87. Doctor,DOCTOR
87. hot,HOT
88. Patient,PATIENT
88. cold,COLD
89. Waiter,WAITER
89. warm,WARM
9. Nice,NICE
9. Technology,TECHNOLOGY
9. Train,TRAIN
90. Secretary,SECRETARY
90. cool,COOL
91. Priest,PRIEST
91. new,NEW
92. Police,POLICE
92. old,OLD
93. Soldier,SOLDIER
93. young,YOUNG
94. Artist,ARTIST
94. good,GOOD
95. Author,AUTHOR
95. bad,BAD
96. Manager,MANAGER
96. wet,WET
97. Reporter,REPORTER
97. dry,DRY
98. Actor,ACTOR
98. sick,SICK
99. Job,JOB
99. healthy,HEALTHY
Ex. Monsoon,MONSOON
Second (Number),SECOND_NUMBER
