actual_gloss,normalized_gloss
21,TWENTY_ONE
22,TWENTY_TWO
23,TWENTY_THREE
24,TWENTY_FOUR
25,TWENTY_FIVE
26,TWENTY_SIX
27,TWENTY_SEVEN
28,TWENTY_EIGHT
29,TWENTY_NINE
30,THIRTY
50,FIFTY
100,HUNDRED
about,ABOUT
absent,ABSENT
accept,ACCEPT
accident,ACCIDENT
accountant,ACCOUNTANT
actor,ACTOR
adopt,ADOPT
adult,ADULT
afraid,AFRAID
africa,AFRICA
after,AFTER
afternoon,AFTERNOON
again,AGAIN
airplane,AIRPLANE
alarm,ALARM
algebra,ALGEBRA
all,ALL
all day,ALL_DAY
all morning,ALL_MORNING
all night,ALL_NIGHT
alone,ALONE
also,ALSO
always,ALWAYS
america,AMERICA
and,AND
angry,ANGRY
animal,ANIMAL
annoy,ANNOY
answer,ANSWER
any,ANY
apartment,APARTMENT
apple,APPLE
apply,APPLY
appointment,APPOINTMENT
area,AREA
argentina,ARGENTINA
argue,ARGUE
army,ARMY
around,AROUND
arrive,ARRIVE
arrogant,ARROGANT
artist,ARTIST
asia,ASIA
ask,ASK
asl,A+S+L
athlete,ATHLETE
aunt,AUNT
australia,AUSTRALIA
austria,AUSTRIA
autumn,AUTUMN
autumn in love,AUTUMN_IN_LOVE
awful,AWFUL
awkward,AWKWARD
baby,BABY
back,BACK
backpack,BACKPACK
bacon,BACON
bad,BAD
bake,BAKE
bald,BALD
ball,BALL
banana,BANANA
bank,BANK
baseball,BASEBALL
basement,BASEMENT
basketball,BASKETBALL
bat,BAT
bath,BATH
bathroom,BATHROOM
bathtub,BATHTUB
beach,BEACH
bear,BEAR
beard,BEARD
beautiful,BEAUTIFUL
become,BECOME
bed,BED
bedroom,BEDROOM
beer,BEER
before,BEFORE
believe,BELIEVE
belt,BELT
best friend,BEST_FRIEND
better,GOOD
bicycle,BICYCLE
big,BIG
biology,BIOLOGY
bird,BIRD
birthday,BIRTHDAY
bitter,BITTER
black,BLACK
blanket,BLANKET
blue,BLUE
boat,BOAT
book,BOOK
bookstore,BOOKSTORE
boots,BOOT
bored,BORE
born,BORN
boss,BOSS
both,BOTH
bowl,BOWL
bowling,BOWLING
box,BOX
boy,BOY
boyfriend,BOYFRIEND
brave,BRAVE
bread,BREAD
break,BREAK
break up,BREAK_UP
breakfast,BREAKFAST
bright,BRIGHT
broke,BROKE
