actual_gloss,normalized_gloss
[OFF],OFF
[ON],ON
[PU],WHOOPS
AB,AWAY
ABEND,EVENING
ABER,BUT
ACHT,EIGHT
ACHTE,EIGHTH
ACHTZEHN,EIGHTEEN
ALLGAEU,ALLGAEU
ANFANG,BEGINNING
APRIL,APRIL
AUCH,EVEN
AUFLOCKERUNG,RELAXATION
AUFPASSEN,WATCH_AFTER
AUGUST,AUGUST
AUSRICHTEN,RELAY_A_MESSAGE
B,B
BADEN,BATHE
BADEN-WUERTEMBERG,BADEN_WUERTEMBERG
BAYERN,BAVARIA
BEDEUTEN,MEAN
BEGRUESSEN,GREET
BELGIEN,BELGIUM
BERG,MOUNTAIN
BESONDERS,PARTICULARLY
BESSER,GOOD
BIS,UNTIL
BISSCHEN,SMALL
BLAU,BLUE
BLEIBEN,REMAIN
BODEN,FLOOR
cl-KOMMEN,COME
cl-WEHEN,LABOR
cl-WOLKE,CLOUD
DABEI,INCLUDE
DAENEMARK,DENMARK
DANN,THEN
DAZU,TO
DESHALB,FOR_THIS_REASON
DEUTSCH,GERMAN
DEZEMBER,DECEMBER
DIENSTAG,TUESDAY
DIESE,THESE
DONNERSTAG,THURSDAY
DREI,THREE
DREIHUNDERT,THREE_HUNDRED
DREISSIG,THIRTY
DREIZEHN,THIRTEEN
DRITTE,THIRD
DRUCK,PRINT
DU,YOU
DURCH,THROUGH
EINIGE,SOME
EINIGERMASSEN,REASONABLY
EINS,ONE
ELF,ELEVEN
ENGLAND,ENGLAND
ENORM,ENORMOUS
ENTSCHULDIGUNG,EXCUSE
ERSTMAL,FOR_NOW
ERZ,HE
ETWAS,SOME
EUROPA,EUROPE
FEBRUAR,FEBRUARY
FEUCHT,WET
FLUSS,FLOW
FOLGE,CONSEQUENCE
FRANKREICH,FRANCE
FREITAG,FRIDAY
FREUEN,BE_HAPPY
FREUNDLICH,FRIENDLY
FRISCH,FRESH
FRUEH,EARLY
FUENF,FIVE
FUENFTE,FIFTH
FUENFZEHN,FIFTEEN
GEFAEHRLICH,DANGEROUS
GEWESEN,BEEN
GEWITTER,THUNDERSTORM
GLATT,SMOOTH
GLEICH,SAME
GRAU,GRAY
GRENZE,BORDER
GRUND,REASON
GUT,GOOD
H,H
HABEN,TO_HAVE
HAGEL,HAIL
HALLO,HELLO
HAMBURG,HAMBURG
HANNOVER,HANNOVER
HART,HARD
HEISS,HOT
HERBST,AUTUMN
HEUTE,TODAY
HIMMEL,HEAVEN
HOCH,HIGH
ICH,ME
IM-MOMENT,AT_THE_MOMENT
IM-VERLAUF,IN_THE_COURSE
IN-KOMMENDEN,IN_COMING
IRLAND,IRELAND
JA,YES
JAHR,YEAR
JETZT,NOW
JULI,JULY
JUNI,JUNE
KALT,COLD
KEIN,NO
KLAR,CLEAR
KOENNEN,BE_ABLE
KOMMEN,COME
KUESTE,COAST
KURZ,SHORT
L,L
LANG,LONG
LEICHT,LIGHT
LETZTER,LAST
LIEB,DEAR
LIEGEN,TO_LIE
LOCH-PLUSPLUS,HOLE_PLUSPLUS
loc-IX,IX
loc-REGION,REGION
LOS,COME_ON
LUFT,AIR
MAI,MAY
MANCHMAL,SOMETIMES
MASS,MASS
MAXIMAL,MAXIMUM
MEER,SEA
MEHR,MORE
MEIST,MOST_OF_TIME
MINUS,MINUS
MISCHEN,MIX
MIT,WITH
MITTAG,MIDDAY
MITTE,CENTER
MITTWOCH,WEDNESDAY
MONTAG,MONDAY
MORGEN,MORNING
MUESSEN,HAVE_TO
NACH,AFTER
NEBEL,FOG
NEIN,NO
NEU,NEW
NEUN,NINE
NEUNTE,NINTH
NEUNZEHN,NINETEEN
NICHTALP-AUCH,NONALP_TOO
NICHT-BEISEITE,NOT_ASIDE
NICHT-GLEICH,NOT_EQUAL
NICHT-HABEN,NOT_HAVE
NICHT-REGEN,NON_RAIN
NICHT-SCHOEN,NOT_NICE
NICHT-SONNE,NON_SUN
NICHT-VIEL,NOT_MUCH
NORD,NORTH
NORDOST,NORTHEAST
NORDWEST,NORTHWEST
NOVEMBER,NOVEMBER
NULL,ZERO
NUR,ONLY
ODER,OR
OFT,OFTEN
OKTOBER,OCTOBER
ORT,LOCATION
OST,EAST
PERFEKT,PERFECT
PLUS,PLUS
POMMERN,POMERANIA
poss-SEIN,BE
RECHNEN,CALCULATE
REGEN,RAIN
RHEINLAND-PFALZ,RHINELAND_PALATINATE
RICHTIG,CORRECT
RUHIG,CALM
RUSSLAND,RUSSIA
SAMSTAG,SATURDAY
SAUER,ANGRY
SCHLESWIG,SCHLESWIG
SCHLUSS,ENOUGH
SCHNEE,SNOW
SCHOEN,GOOD
SCHON,BEAUTIFUL
SCHWACH,WEAK
SCHWARZMEER,BLACK_SEA
SCHWER,HEAVY
SCHWUEL,HUMID
SECHS,SIX
SECHSHUNDERT,SIX_HUNTER
SECHSTE,SIX
SECHSZEHN,SIXTH
SECHZEHN,SIXTEEN
SEHEN,SEE
SELTEN,RARE
SEPTEMBER,SEPTEMBER
SIEBEN,SEVEN
SIEBTE,SEVENTH
SIEBZEHN,SEVENTEEN
SINKEN,SINK
SO,SO
SOMMER,SUMMER
SONNE,SUN
SONNTAG,SUNDAY
SONST,OTHERWISE
SPAETER,LATER
STADT,CITY
STARK,STRONG
STERN,STAR
STUNDE,HOUR
SUED,SOUTH
SUEDOST,SUEDOST
SUEDWEST,SOUTHWEST
TAG,DAY
TAL,VALLEY
TATSAECHLICH,INDEED
TAUEN,THAW
TEIL,PART
TEMPERATUR,TEMPERATURE
THUERINGEN,THURINGIA
TIEF,DEEP
TROCKEN,DRY
TROPFEN,DROP
UEBER,ABOVE
UEBERWIEGEND,OVERWHELM
UM,AROUND
UMSTELLEN,SHIFT
UND,AND
UNGARN,HUNGARY
UNGEFAEHR,APPROXIMATE
UNTER,UNDER
UNTERSCHIEDLICH,DIFFERENT
VERAENDERN,CHANGE
VERBREITEN,SPREAD
VERLAUF,COURSE
VERSCHWINDEN,DISAPPEAR
VIEL,A_LOT_OF
VIER,FOUR
VIERTE,FOURTH
VIERZEHN,FOURTEEN
VOGEL,BIRD
VOR,IN_FRONT
VORBEREITEN,PREPARE
VORSICHT,CAUTION
WAHRSCHEINLICH,PROBABLY
WALD,FOREST
WARM,HOT
WECHSEL,CHANGE
WEHEN,BLOW
WEITER,FURTHER
WENIG,SMALL
WENN,IF
WEST,WEST
WETTER,WEATHER
WIE,HOW
WIE-AUSSEHEN,LOOK_LIKE
WIE-IMMER,AS_ALWAYS
WIND,WIND
WUENSCHEN,TO_WISH
ZEHN,TEN
ZEHNTE,TEN
