actual_gloss,normalized_gloss
book,BOOK
drink,DRINK
computer,COMPUTER
before,BEFORE
chair,CHAIR
go,GO
clothes,CLOTHES
who,WHO
candy,CANDY
cousin,COUSIN
deaf,DEAF
fine,FINE
help,HELP
no,NO
thin,THIN
walk,WALK
year,YEAR
yes,YES
all,ALL
black,BLACK
cool,COOL
finish,FINISH
hot,HOT
like,LIKE
many,MANY
mother,MOTHER
now,NOW
orange,ORANGE
table,TABLE
thanksgiving,THANKSGIVING
what,WHAT
woman,WOMAN
bed,BED
blue,BLUE
bowling,BOWLING
can,CAN
dog,DOG
family,FAMILY
fish,FISH
graduate,GRADUATE
hat,HAT
hearing,HEARING
kiss,KISS
language,LANGUAGE
later,LATER
man,MAN
shirt,SHIRT
study,STUDY
tall,TALL
white,WHITE
wrong,WRONG
accident,ACCIDENT
apple,APPLE
bird,BIRD
change,CHANGE
color,COLOR
corn,CORN
cow,COW
dance,DANCE
dark,DARK
doctor,DOCTOR
eat,EAT
enjoy,ENJOY
forget,FORGET
give,GIVE
last,LAST
meet,MEET
pink,PINK
pizza,PIZZA
play,PLAY
school,SCHOOL
secretary,SECRETARY
short,SHORT
time,TIME
want,WANT
work,WORK
africa,AFRICA
basketball,BASKETBALL
birthday,BIRTHDAY
brown,BROWN
but,BUT
cheat,CHEAT
city,CITY
cook,COOK
decide,DECIDE
full,FULL
how,HOW
jacket,JACKET
letter,LETTER
medicine,MEDICINE
need,NEED
paint,PAINT
paper,PAPER
pull,PULL
purple,PURPLE
right,RIGHT
same,SAME
son,SON
tell,TELL
thursday,THURSDAY
visit,VISIT
wait,WAIT
water,WATER
wife,WIFE
yellow,YELLOW
backpack,BAG
bar,BAR
brother,BROTHER
cat,CAT
check,CHECK
class,CLASS
cry,CRY
different,DIFFERENT
door,DOOR
green,GREEN
hair,HAIR
have,HAVE
headache,HEADACHE
inform,INFORM
knife,KNIFE
laugh,LAUGH
learn,LEARN
movie,MOVIE
rabbit,RABBIT
read,READ
red,RED
room,ROOM
run,RUN
show,SHOW
sick,SICK
snow,SNOW
take,TAKE
tea,TEA
teacher,TEACHER
week,WEEK
why,WHY
with,WITH
write,WRITE
yesterday,YESTERDAY
again,AGAIN
bad,BAD
ball,BALL
bathroom,BATHROOM
blanket,BLANKET
buy,BUY
call,CALL
coffee,COFFEE
cold,COLD
college,COLLEGE
copy,COPY
cute,CUTE
daughter,DAUGHTER
example,EXAMPLE
far,FAR
first,FIRST
friend,FRIEND
good,GOOD
happy,HAPPY
home,HOME
know,KNOW
late,LATE
leave,LEAVE
list,LIST
lose,LOSE
name,NAME
old,OLD
person,PERSON
police,POLICE
problem,PROBLEM
remember,REMEMBER
share,SHARE
soon,SOON
stay,STAY
sunday,SUNDAY
test,TEST
tired,TIRED
trade,TRADE
travel,TRAVEL
window,WINDOW
you,YOU
about,ABOUT
approve,APPROVE
arrive,ARRIVE
balance,BALANCE
banana,BANANA
beard,BEARD
because,BECAUSE
boy,BOY
business,BUSINESS
careful,CAREFUL
center,CENTER
chat,CHAT
children,CHILDREN
christmas,CHRISTMAS
clock,CLOCK
close,CLOSE
convince,CONVINCE
country,COUNTRY
crash,CRASH
day,DAY
discuss,DISCUSS
dress,DRESS
drive,DRIVE
drop,DROP
fat,FAT
feel,FEEL
football,FOOTBALL
future,FUTURE
game,GAME
girl,GIRL
government,GOVERNMENT
hear,HEAR
here,HERE
hope,HOPE
house,HOUSE
husband,HUSBAND
interest,INTEREST
join,JOIN
light,LIGHT
live,LIVE
make,MAKE
mean,MEAN
more,MORE
most,MOST
music,MUSIC
new,NEW
none,NONE
office,OFFICE
order,ORDER
pants,PANTS
party,PARTY
past,PAST
pencil,PENCIL
plan,PLAN
please,PLEASE
practice,PRACTICE
president,PRESIDENT
restaurant,RESTAURANT
ride,RIDE
russia,RUSSIA
salt,SALT
sandwich,SANDWICH
sign,SIGN
since,SINCE
small,SMALL
some,SOME
south,SOUTH
student,STUDENT
teach,TEACH
theory,THEORY
tomato,TOMATO
train,TRAIN
ugly,UGLY
war,WAR
where,WHERE
your,YOUR
always,ALWAYS
animal,ANIMAL
argue,ARGUE
baby,BABY
back,BACK
bake,BAKE
bath,BATH
behind,BEHIND
bring,BRING
catch,CATCH
cereal,CEREAL
champion,CHAMPION
cheese,CHEESE
cough,COUGH
crazy,CRAZY
delay,DELAY
delicious,DELICIOUS
disappear,DISAPPEAR
divorce,DIVORCE
draw,DRAW
east,EAST
easy,EASY
egg,EGG
environment,ENVIRONMENT
father,FATHER
fault,FAULT
flower,FLOWER
friendly,FRIENDLY
glasses,GLASSES
halloween,HALLOWEEN
hard,HARD
heart,HEART
hour,HOUR
humble,HUMBLE
hurry,HURRY
improve,IMPROVE
internet,INTERNET
jump,JUMP
kill,KILL
law,LAW
match,MATCH
meat,MEAT
milk,MILK
money,MONEY
month,MONTH
moon,MOON
move,MOVE
near,NEAR
nephew,NEPHEW
nice,NICE
niece,NIECE
noon,NOON
north,NORTH
not,NOT
nurse,NURSE
off,OFF
ok,OK
patient,PATIENT
pay,PAY
perspective,PERSPECTIVE
potato,POTATO
sad,SAD
saturday,SATURDAY
save,SAVE
scissors,SCISSOR
secret,SECRET
shoes,SHOE
shop,SHOP
silly,SILLY
sister,SISTER
sleep,SLEEP
sorry,SORRY
straight,STRAIGHT
sweet,SWEET
talk,TALK
temperature,TEMPERATURE
tent,TENT
thank you,THANK_YOU
think,THINK
throw,THROW
today,TODAY
traffic,TRAFFIC
understand,UNDERSTAND
use,USE
voice,VOICE
vomit,VOMIT
vote,VOTE
wednesday,WEDNESDAY
west,WEST
wet,WET
when,WHEN
which,WHICH
win,WIN
word,WORD
afternoon,AFTERNOON
age,AGE
alone,ALONE
appointment,APPOINTMENT
australia,AUSTRALIA
avoid,AVOID
balloon,BALLOON
basement,BASEMENT
bear,BEAR
believe,BELIEVE
better,BETTER
blind,BLIND
bored,BORED
bowl,BOWL
box,BOX
bracelet,BRACELET
bread,BREAD
cafeteria,CAFETERIA
car,CAR
chicken,CHICKEN
child,CHILD
choose,CHOOSE
church,CHURCH
cookie,COOKIE
cup,CUP
cut,CUT
decorate,DECORATE
deep,DEEP
deer,DEER
dentist,DENTIST
dirty,DIRTY
dive,DIVE
down,DOWN
dry,DRY
ear,EAR
earn,EARN
earring,EARRING
elephant,ELEPHANT
english,ENGLISH
escape,ESCAPE
expensive,EXPENSIVE
explain,EXPLAIN
fast,FAST
fight,FIGHT
find,FIND
fishing,FISHING
floor,FLOOR
fly,FLY
follow,FOLLOW
from,FROM
get,GET
happen,HAPPEN
hello,HELLO
hit,HIT
hospital,HOSPITAL
idea,IDEA
important,IMPORTANT
investigate,INVESTIGATE
japan,JAPAN
jealous,JEALOUS
king,KING
kitchen,KITCHEN
large,LARGE
last year,LAST_YEAR
lemon,LEMON
lettuce,LETTUCE
marry,MARRY
meeting,MEETING
minute,MINUTE
mirror,MIRROR
miss,MISS
monkey,MONKEY
morning,MORNING
motorcycle,MOTORCYCLE
necklace,NECKLACE
never,NEVER
newspaper,NEWSPAPER
night,NIGHT
onion,ONION
people,PEOPLE
pepper,PEPPER
phone,PHONE
picture,PICTURE
plus,PLUS
point,POINT
poor,POOR
possible,POSSIBLE
quiet,QUIET
rain,RAIN
ready,READY
research,RESEARCH
scared,SCARED
science,SCIENCE
score,SCORE
sentence,SENTENCE
shape,SHAPE
sit,SIT
slow,SLOW
snake,SNAKE
soap,SOAP
soda,SODA
speech,SPEECH
star,STAR
stink,STINK
struggle,STRUGGLE
stubborn,STUBBORN
sunset,SUNSET
surgery,SURGERY
there,THERE
tiger,TIGER
toast,TOAST
toilet,TOILET
tomorrow,TOMORROW
town,TOWN
transfer,TRANSFER
tree,TREE
truck,TRUCK
uncle,UNCLE
vacation,VACATION
weather,WEATHER
weekend,WEEKEND
accept,ACCEPT
adult,ADULT
after,AFTER
ago,AGO
allow,ALLOW
america,AMERICA
angel,ANGEL
answer,ANSWER
any,ANY
area,AREA
art,ART
asl,ASL
aunt,AUNT
awful,AWFUL
awkward,AWKWARD
bacon,BACON
bark,BARK
bedroom,BEDROOM
beer,BEER
belt,BELT
big,BIG
bitter,BITTER
both,BOTH
cake,CAKE
california,CALIFORNIA
canada,CANADA
carrot,CARROT
cause,CAUSE
challenge,CHALLENGE
cheap,CHEAP
chocolate,CHOCOLATE
clean,CLEAN
cloud,CLOUD
compare,COMPARE
complex,COMPLEX
contact,CONTACT
continue,CONTINUE
corner,CORNER
correct,CORRECT
curse,CURSE
dead,DEAD
demand,DEMAND
depend,DEPEND
desert,DESERT
desk,DESK
develop,DEVELOP
dictionary,DICTIONARY
doll,DOLL
duty,DUTY
easter,EASTER
egypt,EGYPT
elevator,ELEVATOR
email,EMAIL
end,END
enter,ENTER
europe,EUROPE
event,EVENT
exchange,EXCHANGE
experience,EXPERIENCE
face,FACE
fail,FAIL
feed,FEED
few,FEW
flag,FLAG
food,FOOD
for,FOR
form,FORM
freeze,FREEZE
friday,FRIDAY
front,FRONT
giraffe,GIRAFFE
god,GOD
grammar,GRAMMAR
grandfather,GRANDFATHER
great,GREAT
greece,GREECE
guess,GUESS
guitar,GUITAR
hammer,HAMMER
helicopter,HELICOPTER
high,HIGH
history,HISTORY
hungry,HUNGRY
hurt,HURT
introduce,INTRODUCE
invest,INVEST
lazy,LAZY
library,LIBRARY
lie,LIE
lobster,LOBSTER
love,LOVE
lucky,LUCKY
magazine,MAGAZINE
measure,MEASURE
microwave,MICROWAVE
my,MY
neighbor,NEIGHBOR
number,NUMBER
one,ONE
outside,OUTSIDE
peach,PEACH
pig,PIG
polite,POLITE
postpone,POSTPONE
power,POWER
present,PRESENT
price,PRICE
prison,JAIL
push,PUSH
raccoon,RACCOON
really,REALLY
reason,REASON
religion,RELIGION
respect,RESPECT
rule,RULE
salad,SALAD
schedule,SCHEDULE
sell,SELL
serious,SERIOUS
shower,SHOWER
single,SINGLE
smart,SMART
smile,SMILE
soft,SOFT
sound,SOUND
soup,SOUP
spain,SPAIN
spray,SPRAY
squirrel,SQUIRREL
stomach,STOMACH
story,STORY
strange,STRANGE
street,STREET
stress,STRESS
strict,STRICT
strong,STRONG
sugar,SUGAR
summer,SUMMER
suspect,SUSPECT
sweetheart,SWEETHEART
tease,TEASE
that,THAT
themselves,THEMSELVES
therapy,THERAPY
thirsty,THIRSTY
ticket,TICKET
top,TOP
tuesday,TUESDAY
turkey,TURKEY
university,UNIVERSITY
until,UNTIL
watch,WATCH
weak,WEAK
wedding,MARRIAGE
will,WILL
wind,WIND
world,WORLD
worry,WORRY
wow,WOW
young,YOUNG
add,ADD
airplane,AIRPLANE
already,ALREADY
also,ALSO
analyze,ANALYZE
and,AND
angry,ANGRY
appear,APPEAR
arm,ARM
army,ARMY
arrest,ARREST
asia,ASIA
ask,ASK
attitude,ATTITUDE
attract,ATTRACT
bald,BALD
barely,BARELY
baseball,BASEBALL
beg,BEG
benefit,BENEFIT
bite,BITE
blame,BLAME
boat,BOAT
body,BODY
borrow,BORROW
boss,BOSS
bother,BOTHER
bottle,BOTTLE
bottom,BOTTOM
brag,BRAG
build,BUILD
bus,BUS
butter,BUTTER
calm,CALM
cancel,CANCEL
candle,CANDLE
cards,CARDS
choice,CHOICE
comb,COMB
comfortable,COMFORTABLE
conflict,CONFLICT
cover,COVER
deodorant,PERFUME
dessert,DESSERT
destroy,DESTROY
diamond,DIAMOND
dollar,DOLLAR
drawer,DRAWER
dream,DREAM
drunk,DRUNK
duck,DUCK
during,DURING
eagle,EAGLE
early,EARLY
equal,EQUAL
every,EVERY
excited,EXCITE
exercise,EXERCISE
experiment,EXPERIMENT
expert,EXPERT
fact,FACT
fear,FEAR
feedback,FEEDBACK
fold,FOLD
forest,FOREST
france,FRANCE
frog,FROG
funny,FUNNY
garage,GARAGE
goal,GOAL
golf,GOLF
gone,GONE
gossip,GOSSIP
grandmother,GRANDMOTHER
grapes,GRAPES
group,GROUP
guilty,GUILTY
hamburger,HAMBURGER
hate,HATE
head,HEAD
her,HER
horse,HORSE
ignore,IGNORE
impossible,IMPOSSIBLE
in,IN
independent,INDEPENDENT
inside,INSIDE
insurance,INSURANCE
island,ISLAND
lecture,LECTURE
lesson,LESSON
limit,LIMIT
lion,LION
listen,LISTEN
march,MARCH
math,MATH
maybe,MAYBE
mechanic,MECHANIC
mom,MOM
mouse,MOUSE
much,MUCH
muscle,MUSCLE
museum,MUSEUM
must,MUST
mustache,MUSTACHE
negative,NEGATIVE
nervous,NERVOUS
neutral,NEUTRAL
nose,NOSE
often,OFTEN
operate,OPERATE
opinion,OPINION
other,OTHER
pass,PASS
pillow,PILLOW
prepare,PREPARE
pretty,PRETTY
priest,PRIEST
program,PROGRAM
promise,PROMISE
put,PUT
queen,QUEEN
quit,QUIT
radio,RADIO
rat,RAT
reject,REJECT
require,REQUIRE
rest,REST
retire,RETIRE
rise,RISE
river,RIVER
rough,ROUGH
see,SEE
seem,SEEM
send,SEND
sew,SEW
sheep,SHEEP
shine,SHINE
shock,SHOCK
should,SHOULD
silent,SILENT
skinny,SKINNY
skirt,SKIRT
sky,SKY
sour,SOUR
special,SPECIAL
spirit,SPIRIT
staff,STAFF
stand,STAND
